TrialType,EventCount,MeanDirectionDeg,MeanResultantLength,RayleighZ,RayleighP,RejectUniform05,UnitVectorSumX,UnitVectorSumY,DisplacementVectorSumXDeg,DisplacementVectorSumYDeg,DisplacementVectorSumMagnitudeDeg,DisplacementVectorSumDirectionDeg,MeanDisplacementXDeg,MeanDisplacementYDeg,MeanDisplacementMagnitudeDeg,TrialsWithEvents,TrialMeanDirectionDeg,TrialMeanResultantLength,TrialMeanRayleighZ,TrialMeanRayleighP,TrialMeanRejectUniform05
NonStim,842,198.950795912843,0.314402519269609,83.2308109516306,8.63290285363644e-38,1,-250.378143972292,-85.9716688349315,-44.0629179642693,-31.3189958508223,54.05941398711,215.404414639057,-0.052331256489631,-0.0371959570674849,0.0642035795571378,372,195.847780239911,0.573947701740941,122.542738732139,3.77687051160207e-59,1
Stim,756,194.305454768593,0.262239794509017,51.9899006270436,1.08311674404428e-23,1,-192.105888788966,-48.9866549852754,-35.3871080835819,-29.0168905958791,45.7627289218237,219.351231732359,-0.046808344025902,-0.0383821304178294,0.0605327102140526,361,195.783502003645,0.501776112985775,90.8923155902837,5.44763581519952e-43,1
