TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
3,NonStim,0,4,-1,NaN,1,0.360166666666666,0.383166666666666,NaN,23.9999999999867,0.120053523402959,0.157525268156534,0.138789395779747,17.4156318039168,16.3462747721592,17.4156318039168,-0.0924197339169412,-0.101959431047153,227.809695046814,-0.999999999999446,15.0739742909301
3,NonStim,0,4,-1,NaN,2,0.813166666666666,0.836166666666665,NaN,23.9999999999867,0.275050735760886,0.172808244802454,0.22392949028167,22.9111284003079,16.7164158396793,22.9111284003079,-0.0631645822890099,-0.214580048276742,253.597483861011,3.99999999999778,5.51615812904214
5,Stim,1,4,-1,-0.061166666666665,1,0.438100000000002,0.472100000000001,0.499266666666667,35.0000000000428,0.362071219866173,0.403566492684956,0.382818856275564,33.4329409615167,38.1408808418258,38.1408808418258,-0.0272604715012099,-0.381846662589519,265.916516561005,1.00000000000122,0.15567716743243
5,Stim,1,4,-1,-0.061166666666665,2,0.641100000000002,0.659100000000002,0.702266666666667,19.0000000000232,0.274726552297362,0.280725027450749,0.277725789874055,24.0252234390976,23.2678028755124,24.0252234390976,-0.0811166375189526,0.265226238025264,107.005697261768,0,5.93576614925109
6,Stim,1,1,0.1818,-0.0548333333333311,1,0.9162,0.927200000000003,0.971033333333331,12.0000000000147,0.034595944705938,0.0324479876177053,0.0335219661618216,5.90071949040851,6.90977242315336,6.90977242315336,0.000664886215618026,-0.0319873312402937,271.190774208342,6.00000000000733,34.7471329918171
10,Stim,1,4,-0.3636,-0.0485333333333315,1,0.226400000000005,0.242400000000004,0.274933333333337,16.9999999999604,0.017287156453504,0.035151748860996,0.02621945265725,3.788281167348,7.68906681531966,7.68906681531966,0.0239360625129401,0.00866321455080751,19.896784918271,0.999999999997669,29.5316164872249
10,Stim,1,4,-0.3636,-0.0485333333333315,2,0.358400000000003,0.385400000000004,0.406933333333335,27.9999999999347,0.158708195134371,0.244563793125957,0.201635994130164,13.0318044625031,22.0896608130368,22.0896608130368,-0.132977978055848,0.145942067776505,132.338830839744,0,23.9782805673373
10,Stim,1,4,-0.3636,-0.0485333333333315,3,0.397400000000005,0.416400000000003,0.445933333333336,19.9999999999534,0.0333201243621125,0.0293215809431015,0.031320852652607,5.55335433607322,5.65095807957767,5.65095807957767,0,-0.031320852652607,270,6.99999999998369,1.13686837721616e-13
13,Stim,1,3,0.1818,-0.0549999999999926,1,0.546066666666675,0.583066666666674,0.601066666666668,37.9999999999114,0.274727729907715,0.261638393223034,0.268183061565374,20.7049657433037,23.7011279466407,23.7011279466407,-0.0405583296893455,-0.263894865799606,261.262508512013,1.99999999999534,10.800731700339
15,NonStim,0,2,-0.3636,NaN,1,0.450766666666667,0.478766666666672,NaN,28.9999999999324,0.292271150752531,0.284508445957328,0.288389798354929,27.4321018673416,25.4884219957627,27.4321018673416,-0.280583134496208,0.0666403066506174,166.639431257391,1.99999999999534,0.366363592233853
15,NonStim,0,2,-0.3636,NaN,2,0.628766666666671,0.653766666666669,NaN,25.9999999999394,0.253817752990993,0.173832884486502,0.213825318738748,18.4595871890838,13.2793155434522,18.4595871890838,0.168216772088756,-0.131281249800991,322.030489559223,-0.999999999997669,7.5175612136378
17,Stim,1,3,-0.0909,-0.0587666666666635,1,0.0465000000000018,0.0915000000000035,0.105266666666665,45.9999999998928,0.163187430933407,0.178463390216125,0.170825410574766,13.7871461325097,15.3756330037906,15.3756330037906,0.11236633775293,-0.125283327699099,311.888859526291,0.999999999997669,19.7808327886641
19,NonStim,0,1,-0.3636,NaN,1,0.509233333333334,0.542233333333336,NaN,33.9999999999208,0.222826039493723,0.222825824299353,0.222825931896538,18.530820578909,19.5679026051656,19.5679026051656,-0.0984037690884082,0.199920219474541,116.207111880783,-1.99999999999534,4.28441560416104e-05
19,NonStim,0,1,-0.3636,NaN,2,0.678233333333338,0.697233333333337,NaN,19.9999999999534,0.368685066281308,0.40029532095268,0.384490193616994,33.7786591584694,37.2881917085207,37.2881917085207,-0.053856088531086,-0.380514445776344,261.944152966482,0,3.54236837715649
20,Stim,1,3,-0.4545,-0.0541000000000196,1,0.150133333333315,0.158133333333325,0.204233333333335,9.00000000004297,0.0252658296891371,0.0159573717691139,0.0206116007291255,5.69879888536819,5.99635019075736,5.99635019075736,-0.0206116007291255,3.38271077815477e-17,180,-2.00000000000955,2.8421709430404e-14
21,NonStim,0,2,-0.0909,NaN,1,0.241733333333315,0.261733333333311,NaN,21.0000000001003,0.152617105226034,0.211385891855182,0.182001498540608,14.3170954726116,15.5205650646691,15.5205650646691,-0.170876749118987,-0.0599762679737525,199.34063418285,-1.00000000000477,11.5835049420255
22,NonStim,0,3,-0.4545,NaN,1,0.00256666666666661,0.0195666666666625,NaN,18.0000000000859,0.213119987676122,0.187973548640809,0.200546768158466,21.500771601532,21.5321157655654,21.5321157655654,-0.163230533342112,-0.115620899835038,215.311043290614,0,8.2364184022714
23,NonStim,0,3,0.4545,NaN,1,0.490599999999986,0.528599999999983,NaN,39.0000000001862,0.138146155960623,0.217888094280317,0.17801712512047,17.4815735666852,19.4797967321585,19.4797967321585,-0.156249201813055,0.0852995448737912,151.36899633831,0,0.344098407270906
25,Stim,1,1,-0.6363,-0.0482000000000227,1,0.412866666666645,0.445866666666646,0.461066666666667,34.0000000001623,0.227392312462278,0.303693143244193,0.265542727853236,18.3337965450953,20.3166987367589,20.3166987367589,-0.257312072897093,0.0493137890815777,169.150831433292,2.00000000000955,18.9510737913303
25,Stim,1,1,-0.6363,-0.0482000000000227,2,0.636866666666648,0.662866666666645,0.685066666666671,27.0000000001289,0.120053506901185,0.134457129286371,0.127255318093778,13.0738699962015,15.6767806039767,15.6767806039767,0.0492017985669908,-0.115287472306719,293.1115725364,0,19.89920147983
26,Stim,1,4,-0.6363,-0.0627999999999957,1,0.411533333333338,0.444533333333325,0.474333333333334,34.0000000001623,0.0333201554348185,0.1336520811677,0.0834861183012591,13.9078065323463,14.1173248432103,14.1173248432103,-0.010638250499825,0.0826339159142075,97.3358806554699,1.00000000000477,9.16006913232854
27,Stim,1,2,1,-0.0584333333333404,1,0.455066666666653,0.492066666666659,0.513499999999993,38.0000000001814,0.203810290100898,0.24186843749603,0.222839363798464,14.03162163752,14.2107515828124,14.2107515828124,-0.101728231481166,0.194588895440952,117.599911048965,-5.00000000002387,19.7089484035007
27,Stim,1,2,1,-0.0584333333333404,2,0.603066666666649,0.657066666666651,0.66149999999999,55.0000000002626,0.334725558561574,0.310467746718245,0.322596652639909,32.658869246851,31.4608993753204,32.658869246851,-0.0405582911431418,-0.319872449208659,262.773731170998,3.00000000001432,3.64726144149296
27,Stim,1,2,1,-0.0584333333333404,3,0.726066666666654,0.750066666666655,0.784499999999994,25.0000000001194,0.0418159536160585,0.038705581092198,0.0402607673541282,7.84468761276413,6.58956166647707,7.84468761276413,0.0252658204744088,-0.0313207579329855,308.892415017187,6.00000000002865,3.57845037936158
29,NonStim,0,2,0.4545,NaN,1,0.460533333333316,0.476533333333322,NaN,17.0000000000812,0.0333466747338221,0.0480546329826949,0.0407006538582585,7.24580375339255,5.59301785193253,7.24580375339255,0.000664890697184072,0.0406505652332369,89.0629396189307,8.0000000000382,5.4580459242444
29,NonStim,0,2,0.4545,NaN,2,0.647533333333314,0.674533333333315,NaN,28.0000000001337,0.14894461530513,0.0692209796748494,0.10908279748999,18.5497266381443,9.57220646563708,18.5497266381443,-0.0605050145933928,-0.0879651680888832,235.478669484987,9.00000000004297,25.4522425413687
30,NonStim,0,4,0.6363,NaN,1,0.477866666666657,0.499866666666662,NaN,23.0000000001098,0.274609666165316,0.36767315092149,0.321141408543403,22.5952957073025,27.037913812508,27.037913812508,-0.158243885417545,0.279221721289015,119.541615781604,-3.00000000001432,4.04743272299453
30,NonStim,0,4,0.6363,NaN,2,0.624866666666662,0.670866666666669,NaN,47.0000000002244,0.307163108212314,0.271110745702449,0.289136926957381,32.5914981456536,27.6719917475846,32.5914981456536,0.0492019060343811,-0.284553161489514,279.809979142997,2.00000000000955,5.74085070366124
31,Stim,1,4,0.3636,-0.0555000000000092,1,0.360599999999991,0.387599999999992,0.4161,28.0000000001337,0.161792422305277,0.129027257951346,0.145409840128311,13.1963818269489,13.8833323296186,13.8833323296186,-0.137632294453367,0.0459818036490182,161.525955330381,1.00000000000477,7.40477128711819
32,Stim,1,3,0.3636,-0.0636333333333425,1,0.64009999999999,0.669099999999986,0.703733333333332,30.0000000001432,0.166600644593123,0.147085126877635,0.156842885735379,21.1027573775763,20.8994248405521,21.1027573775763,-0.0246009244451707,-0.152606188957296,260.842401679633,-3.00000000001432,19.5429106823003
35,NonStim,0,2,1,NaN,1,0.0451999999999941,0.0822000000000003,NaN,38.0000000001814,0.0480168280679355,0.131448740453067,0.0897327842605012,5.90072165491587,12.4120502120353,12.4120502120353,0.0591752556076401,-0.0673066960243405,311.321554744816,3.00000000001432,6.46525636563945
35,NonStim,0,2,1,NaN,2,0.609200000000001,0.6982,NaN,90.0000000004297,0.135908176785852,0.1089969486168,0.122452562701326,22.8417659340194,21.5496453483914,22.8417659340194,-0.0445476668431834,-0.111289240263938,248.18440251647,-6.00000000002865,23.7032941273552
35,NonStim,0,2,1,NaN,3,0.882199999999997,0.895199999999988,NaN,14.0000000000668,0.0333201059393856,0.0345959572789568,0.0339580316091712,5.55335132991231,7.2458043606138,7.2458043606138,-0.00465423159144169,0.0333201307997954,97.9517551215222,-6.00000000002865,15.6084678635641
35,NonStim,0,2,1,NaN,4,0.969200000000001,0.981200000000001,NaN,13.0000000000621,0.0179378129667885,0.0184540866135873,0.0181959497901879,5.55335132991231,7.84472698145878,7.84472698145878,-0.010970691953891,0.0134946484852575,129.109941912853,2.00000000000955,34.2065031382235
38,NonStim,0,1,0.6363,NaN,1,0.335566666666665,0.383566666666653,NaN,49.000000000234,0.200079404537123,0.242532433323505,0.221305918930314,30.1211487452649,27.3993128270009,30.1211487452649,-0.0292551989832081,0.216580437150883,97.6928229549934,-6.00000000002865,18.1964884878122
39,NonStim,0,3,-0.1818,NaN,1,0.262699999999995,0.327699999999993,NaN,66.0000000003151,0.210271323530556,0.0322351292395997,0.121253226385078,15.771510586257,7.84472395600242,15.771510586257,-0.030584968902265,-0.115954024537294,255.223746053744,2.00000000000955,25.1611310909481
39,NonStim,0,3,-0.1818,NaN,2,0.398699999999991,0.442699999999988,NaN,45.0000000002149,0.0461386786461371,0.0126412061094216,0.0293899423777793,7.84471771709951,7.10545785853883,7.84471771709951,-0.0179520473594461,0.0226576373940468,128.390408698114,-5.00000000002387,25.3699363012777
40,Stim,1,3,0.6363,-0.06013333333334,1,0.263933333333313,0.273933333333332,0.324066666666653,11.0000000000525,0.0265956169167756,0.0320258535677571,0.0293107352422664,5.69879824793254,7.84471232397024,7.84471232397024,0.0292551724738045,-0.00133280075980605,357.391535022526,-1.00000000000477,4.77441172896516
40,Stim,1,3,0.6363,-0.06013333333334,2,0.615933333333317,0.660933333333332,0.676066666666657,46.0000000002196,0.233619227535093,0.197189337388045,0.215404282461569,28.7467722795462,28.1044026662658,28.7467722795462,-0.00930846885834298,0.213914992155893,92.4916427091299,1.00000000000477,12.5772824218796
42,NonStim,0,3,-0.0909,NaN,1,0.246633333333335,0.288633333333337,NaN,43.0000000002053,0.0767578268768489,0.119312428815469,0.0980351278461592,17.0841275240702,15.6945635520538,17.0841275240702,-0.0811166367694062,0.053978645805677,146.358425931353,3.00000000001432,12.9956478209087
42,NonStim,0,3,-0.0909,NaN,2,0.448633333333333,0.462633333333315,NaN,15.0000000000716,0.033742015924166,0.0175293762207895,0.0256356960724777,5.59301482099893,7.84472101649388,7.84472101649388,-0.00398934136834284,0.0253232848996081,98.9525986497577,-7.00000000003342,0.343360733239621
42,NonStim,0,3,-0.0909,NaN,3,0.464633333333325,0.48363333333333,NaN,20.0000000000955,0.0335580903532799,0.0309872414022997,0.0322726658777898,5.55777434999374,7.84472073872291,7.84472073872291,0.00864357456966863,-0.0306545016539527,285.746729329489,-3.00000000001432,18.5854870109486
42,NonStim,0,3,-0.0909,NaN,4,0.498633333333316,0.578633333333329,NaN,81.0000000003868,0.0669710650261328,0.0322351025882261,0.0496030838071795,19.2168817476625,7.8447207387229,19.2168817476625,-0.00531912290927812,0.0493137447353081,96.1562869471539,-4.0000000000191,1.41129537797033
42,NonStim,0,3,-0.0909,NaN,5,0.805633333333333,0.822633333333329,NaN,18.0000000000859,0.0342619813454982,0.0213248951092599,0.0277934382273791,5.81871361268533,5.54517638381168,5.81871361268533,0.00398931476276872,0.0273224658365339,81.6930228133126,-1.00000000000477,13.4661718525433
43,Stim,1,2,0.0909,-0.0546333333333564,1,0.339166666666642,0.376166666666649,0.393799999999999,38.0000000001814,0.0418161853767652,0.0387056411332495,0.0402609132550074,7.38797707025079,5.90071994900997,7.38797707025079,-0.0252658266490988,0.031320938167145,128.892260739517,0,3.57860328625941
44,NonStim,0,1,-0.1818,NaN,1,0.384433333333334,0.411433333333321,NaN,28.0000000001337,0.227640315548098,0.245301590893716,0.236470953220907,19.9548699612669,22.478395056177,22.478395056177,-0.126993996135695,0.19858770491713,122.598333244625,-2.00000000000955,9.13303048868596
44,NonStim,0,1,-0.1818,NaN,2,0.525433333333325,0.570433333333312,NaN,46.0000000002196,0.347806467712288,0.311839337007778,0.329822902360033,36.9747578717832,28.9361187018178,36.9747578717832,0.101063254567262,-0.31387502364945,287.847813767207,4.0000000000191,2.50532812333967
45,NonStim,0,2,-0.4545,NaN,1,0.0662000000000091,0.10620000000003,NaN,41.0000000001958,0.0345958648833863,0.0322351293014644,0.0334154970924254,6.47237236778522,7.84472494162175,7.84472494162175,-0.00664890438092029,0.0326536900551107,101.509158945117,-3.00000000001432,8.49949646806132
45,NonStim,0,2,-0.4545,NaN,2,0.595200000000006,0.650200000000012,NaN,56.0000000002674,0.373233986093886,0.231340603788995,0.30228729494144,32.8689484158961,22.7650112943813,32.8689484158961,-0.0910899591930458,-0.284552834159716,252.249291571248,8.0000000000382,17.9867683933889
46,NonStim,0,4,-0.3636,NaN,1,0.3767,0.403699999999986,NaN,28.0000000001337,0.166358744423856,0.171720025424828,0.169039384924342,14.7802287691724,13.2279276319916,14.7802287691724,-0.13630245745726,0.0999604298247001,143.744715056186,-1.00000000000477,1.33312904642787
46,NonStim,0,4,-0.3636,NaN,2,0.819699999999983,0.833699999999993,NaN,15.0000000000716,0.202664623617975,0.149554290140568,0.176109456879272,22.6804020904893,16.0981030151967,22.6804020904893,-0.0492019089013474,0.167266354228325,106.391407457946,1.00000000000477,16.3878895782749
