TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
1122,1,Stim,1,1,3713.50156666667,3714.46956666667,-0.0692333333336137,0.968000000000302,999.999999796273,2,-0.6363,-1,1,1,2,3,3.09917355371804,0.13879306274389,13.8218708252313,11.6666666690435,-0.272182551571288,0.956024622704096,105.891783018117,0.994015301993066,13.2978137355792,6.66401865281521,13.2978135160194,6.66401921112628
1123,1,NonStim,0,1,3716.90956666667,3717.87816666667,NaN,0.969000000000506,999.999999796273,3,-0,-1,1,4,1,5,5.15995872032754,0.0741470615868091,10.6002852684173,7.40000000150758,-0.252028030070944,-0.029540941244401,186.685300813664,0.253753414067763,6.64890708469454,6.66403119583921,19.9467028298703,6.66403021712604
1124,1,NonStim,0,1,3720.41876666667,3721.3991,NaN,0.981000000000222,999.999999796273,2,-1,-1,1,1,1,2,2.03873598368965,0.0633252756743622,9.89928301550639,6.50000000132422,-0.503117436714257,-0.0647204249993077,187.330204142547,0.507263135402145,13.2977985506849,6.6640312452837,13.2978140695239,6.66402945370858
1125,1,NonStim,0,1,3723.8271,3724.8125,NaN,0.985000000000127,999.999999796273,4,0.6363,1,1,2,0,2,2.03045685279162,0.0582627074042684,10.2556601525338,6.00000000122236,0.0169218212860031,0.0100945863332266,30.8178743340388,0.0197040277322783,13.2978129324672,6.66402430681847,13.2978127222823,17.0604866840363
1126,1,NonStim,0,1,3727.18636666667,3728.15996666667,NaN,0.973000000000411,999.999999796273,2,-0.1818,-1,1,1,0,1,1.02774922918764,0.0614327743861457,11.1067188701698,6.00000000122236,0.216461223236343,-0.976291216202945,282.50126818569,1,6.64890527589043,6.66403149077258,13.2978122739609,13.3280603974161
1127,1,Stim,1,1,3730.80383333333,3731.77673333333,-0.0549000000000888,0.972999999999956,999.999999796273,4,1,1,1,1,2,3,3.08324768756437,0.0748149288375409,11.4922957517885,7.66666666822857,0.00960663769847651,-0.943980998366899,270.583063426079,0.944029879169954,13.2978121549228,6.66402967239439,13.2978134031456,6.66403117122825
1128,1,NonStim,0,1,3734.15303333333,3735.11873333333,NaN,0.965000000000146,999.999999796273,2,-0,-1,1,2,1,3,3.10880829015497,0.0618172207780716,9.82184358857105,6.3333333346236,-0.177158670403719,-0.859306446104058,258.350846461533,0.877378346447643,6.64890675951322,6.66402965518377,13.2978118971755,6.66402882907077
1129,1,Stim,1,1,3737.6048,3738.57763333333,-0.0598333333332448,0.973000000000411,999.999999796273,2,0.4545,1,1,0,1,1,1.02774922918764,0.0595778471351562,9.92964199528618,6.00000000122236,0.446400230978467,0.894833411190246,63.4870400063081,1,13.2977886270421,18.5106056638404,13.2978141764669,6.66403014962686
1130,1,Stim,1,1,3741.08793333333,3742.0564,-0.0550666666667894,0.969000000000051,999.999999796273,4,-0.0909,-1,1,2,2,4,4.12796697626397,0.155738387669242,17.6133552300359,10.7500000021901,0.0491357449485622,-0.249425919693212,281.144304457564,0.254219611451309,6.64890702772788,20.7899853846986,13.2978137314356,6.66403052617464
1131,1,Stim,1,1,3744.38886666667,3745.34703333333,-0.0671666666671626,0.959000000000287,999.999999796273,2,1,1,1,7,3,10,10.4275286757007,0.0743913376571482,10.9980791839782,7.40000000150758,0.0659842066246062,0.172848998108749,69.105903980566,0.185015382255306,6.64890700654825,6.66403145178639,19.9466964241826,6.66403071563029
1132,1,NonStim,0,1,3747.88903333333,3748.8459,NaN,0.956000000000131,999.999999796273,2,0.1818,1,1,2,0,2,2.09205020920473,0.0520206319655653,8.74525564582834,6.00000000122236,0.245765667255848,-0.963292675668463,284.312590377078,0.994149657847459,13.2978140456079,6.66403101793717,13.2978140294065,6.66403151662229
1133,1,NonStim,0,1,3751.14763333333,3752.13216666667,NaN,0.985000000000127,999.999999796273,4,-0.4545,-1,1,3,0,3,3.04568527918742,0.0431235346999982,8.51850353687668,7.66666666822857,-0.566110649591442,-0.177546424046365,197.412726270279,0.593299250187034,6.64890693254541,6.66403038391443,13.2978140571491,6.66403135376122
1134,1,NonStim,0,1,3754.5233,3755.48943333333,NaN,0.966000000000349,999.999999796273,1,0.4545,1,1,1,2,3,3.10559006211068,0.0830132386263253,13.2719637954179,7.66666666822857,-0.482676567420778,-0.509940639888175,226.573339265266,0.702151069889284,6.64890560448975,6.66402897114024,13.2978093409173,6.66402971305204
1135,1,NonStim,0,1,3757.8565,3758.82186666667,NaN,0.965000000000146,999.999999796273,4,0.0909,1,0,3,1,4,4.14507772020663,0.105920036993615,13.0695755422273,8.25000000168075,0.102888197160606,0.496613529627269,78.2950794140106,0.507159717370982,13.2978101444235,6.66402765287324,13.2978142608247,13.3277634102485
1136,1,Stim,1,1,3761.50736666667,3762.48093333333,-0.0534666666667363,0.973000000000411,999.999999796273,4,-0.4545,-1,0,2,2,4,4.11099691675058,0.0658355984778711,9.29762995081287,7.50000000152795,-0.326661087171185,0.458279008814821,125.481255737248,0.562785141765625,13.2978134421315,6.66401884813525,13.2978132263231,6.66402536380532
1139,1,NonStim,0,1,3770.2508,3771.20723333333,NaN,0.95699999999988,999.999999796273,3,0.4545,1,1,2,0,2,2.08986415882994,0.0667324786840388,8.94435983914453,9.00000000183354,0.168683185056645,0.904461232895049,79.4356332920328,0.920056595395569,6.64890710288184,6.66400929410929,13.2978142599338,6.66403146903173
1145,1,Stim,1,1,3785.06036666667,3786.0293,-0.0605666666665456,0.969000000000051,999.999999796273,2,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2977904346927,16.6963960322708,13.297813044649,6.66403013053661
