MIDTableRow,Monkey,ROI,Tetrode,Unit,Population,OriginalCondition2MonoLMaximum,OriginalCondition3MonoRMaximum,StoredAlignedOD,ReconstructedAlignedOD,Valid,SignMatch,DominantEye,OriginalDominantCondition,DecoderCondition2DominantMaximum,DecoderCondition3NonDominantMaximum,PostSwapDominantGreaterOrEqual
124,Jim,MT,1,3,2D,69.1030747353816,38.2261472949568,-0.287684256499101,-0.287684256499101,1,1,Left,2,69.1030747353816,38.2261472949568,1
125,Jim,MT,1,4,3D,31.5572358038171,32.5696367827706,0.0157874684686446,0.0157874684686446,1,1,Right,3,32.5696367827706,31.5572358038171,1
126,Jim,MT,2,2,2D,100.447675399437,97.352973841269,-0.0156455581417355,-0.0156455581417355,1,1,Left,2,100.447675399437,97.352973841269,1
127,Jim,MT,2,3,2D,26.9295277360064,29.6390339998493,0.0478977400290788,0.0478977400290788,1,1,Right,3,29.6390339998493,26.9295277360064,1
128,Jim,MT,3,2,2Donly,31.2488666076023,30.3414788454121,-0.0147326298548265,-0.0147326298548265,1,1,Left,2,31.2488666076023,30.3414788454121,1
133,Jim,MT,1,2,2D,107.653157566321,92.5737299542424,-0.0753117016341291,-0.0753117016341291,1,1,Left,2,107.653157566321,92.5737299542424,1
134,Jim,MT,1,3,2D,65.2444271865448,73.621817898685,0.0603270485710806,0.0603270485710806,1,1,Right,3,73.621817898685,65.2444271865448,1
135,Jim,MT,2,2,2D,221.628145840689,181.415081928493,-0.0997735754915726,-0.0997735754915726,1,1,Left,2,221.628145840689,181.415081928493,1
137,Jim,MT,3,2,2D,190.252625138687,197.767352377039,0.0193668565378121,0.0193668565378121,1,1,Right,3,197.767352377039,190.252625138687,1
138,Jim,MT,4,2,3D,123.685526907409,120.291978187814,-0.0139092688822689,-0.0139092688822689,1,1,Left,2,123.685526907409,120.291978187814,1
148,Jim,MT,1,2,2D,106.804143318767,98.8736200038231,-0.038558000567641,-0.038558000567641,1,1,Left,2,106.804143318767,98.8736200038231,1
149,Jim,MT,2,2,2Donly,118.161441865935,99.0337412081714,-0.0880668732475416,-0.0880668732475416,1,1,Left,2,118.161441865935,99.0337412081714,1
151,Jim,MT,1,2,2D,238.612192842024,204.063078523621,-0.0780461809213324,-0.0780461809213324,1,1,Left,2,238.612192842024,204.063078523621,1
152,Jim,MT,2,2,2D,205.633053913513,202.992593132345,-0.0064618087490528,-0.0064618087490528,1,1,Left,2,205.633053913513,202.992593132345,1
154,Jim,MT,4,2,2D,279.445585963101,274.167571598436,-0.00953375889386887,-0.00953375889386887,1,1,Left,2,279.445585963101,274.167571598436,1
160,Jim,MT,3,2,2Donly,156.885095441402,139.184573494969,-0.0597849891548244,-0.0597849891548244,1,1,Left,2,156.885095441402,139.184573494969,1
162,Jim,MT,1,3,2D,88.9668426659723,87.6709629632293,-0.00733636662959485,-0.00733636662959485,1,1,Left,2,88.9668426659723,87.6709629632293,1
163,Jim,MT,1,4,2D,17.2268974558201,20.8198390181621,0.0944349475230015,0.0944349475230015,1,1,Right,3,20.8198390181621,17.2268974558201,1
