Analysis,Area,Population,Condition,NeuronCount,Coherence,MeanCorrect,CI95Low,CI95High,AboveChance95,BelowChance95
Clay,MT,2D-only,Stereoscopic,31,1,0.56735,0.4,0.725,0,0
Clay,FST,2D,Combined,48,0.0909090909090909,0.727175,0.575,0.875,1,0
Clay,FST,2D,Combined,48,0.181818181818182,0.85455,0.725,0.95,1,0
Clay,FST,2D,Combined,48,0.363636363636364,0.945649999999999,0.875,1,1,0
Clay,FST,2D,Combined,48,0.454545454545455,0.953874999999999,0.875,1,1,0
Clay,FST,2D,Combined,48,0.636363636363636,0.970249999999998,0.9,1,1,0
Clay,FST,2D,Combined,48,1,0.990224999999999,0.95,1,1,0
Clay,FST,2D,Dominant eye perspective,48,0.0909090909090909,0.6542,0.475,0.825,0,0
Clay,FST,2D,Dominant eye perspective,48,0.181818181818182,0.79385,0.625,0.9375,1,0
Clay,FST,2D,Dominant eye perspective,48,0.363636363636364,0.866925,0.675,1,1,0
Clay,FST,2D,Dominant eye perspective,48,0.454545454545455,0.888725,0.675,1,1,0
Clay,FST,2D,Dominant eye perspective,48,0.636363636363636,0.9484,0.775,1,1,0
Clay,FST,2D,Dominant eye perspective,48,1,0.982299999999999,0.875,1,1,0
Clay,FST,2D,Non-dominant eye perspective,48,0.0909090909090909,0.44045,0.275,0.575,0,0
Clay,FST,2D,Non-dominant eye perspective,48,0.181818181818182,0.4226,0.25,0.575,0,0
Clay,FST,2D,Non-dominant eye perspective,48,0.363636363636364,0.357475,0.125,0.5875,0,0
Clay,FST,2D,Non-dominant eye perspective,48,0.454545454545455,0.33165,0.1,0.55,0,0
Clay,FST,2D,Non-dominant eye perspective,48,0.636363636363636,0.31205,0.075,0.55,0,0
Clay,FST,2D,Non-dominant eye perspective,48,1,0.258125,0.025,0.525,0,0
Clay,FST,2D,Stereoscopic,48,0.0909090909090909,0.65565,0.5,0.8,0,0
Clay,FST,2D,Stereoscopic,48,0.181818181818182,0.542275,0.35,0.725,0,0
Clay,FST,2D,Stereoscopic,48,0.363636363636364,0.6816,0.5,0.875,0,0
Clay,FST,2D,Stereoscopic,48,0.454545454545455,0.713775,0.5,0.9,0,0
Clay,FST,2D,Stereoscopic,48,0.636363636363636,0.59305,0.35,0.825,0,0
Clay,FST,2D,Stereoscopic,48,1,0.56975,0.3,0.825,0,0
Clay,FST,3D,Combined,9,0.0909090909090909,0.70075,0.575,0.825,1,0
Clay,FST,3D,Combined,9,0.181818181818182,0.926925,0.825,1,1,0
Clay,FST,3D,Combined,9,0.363636363636364,0.995849999999999,0.975,1,1,0
Clay,FST,3D,Combined,9,0.454545454545455,0.989749999999999,0.95,1,1,0
Clay,FST,3D,Combined,9,0.636363636363636,0.999775,1,1,1,0
Clay,FST,3D,Combined,9,1,0.9992,0.975,1,1,0
Clay,FST,3D,Dominant eye perspective,9,0.0909090909090909,0.5801,0.425,0.725,0,0
Clay,FST,3D,Dominant eye perspective,9,0.181818181818182,0.638525,0.5,0.775,0,0
Clay,FST,3D,Dominant eye perspective,9,0.363636363636364,0.765775,0.6,0.925,1,0
Clay,FST,3D,Dominant eye perspective,9,0.454545454545455,0.74695,0.6,0.9,1,0
Clay,FST,3D,Dominant eye perspective,9,0.636363636363636,0.845175,0.7,0.95,1,0
Clay,FST,3D,Dominant eye perspective,9,1,0.968724999999999,0.875,1,1,0
Clay,FST,3D,Non-dominant eye perspective,9,0.0909090909090909,0.504425,0.425,0.6,0,0
Clay,FST,3D,Non-dominant eye perspective,9,0.181818181818182,0.498025,0.4,0.6,0,0
Clay,FST,3D,Non-dominant eye perspective,9,0.363636363636364,0.61115,0.5,0.75,0,0
Clay,FST,3D,Non-dominant eye perspective,9,0.454545454545455,0.6668,0.5375,0.825,1,0
Clay,FST,3D,Non-dominant eye perspective,9,0.636363636363636,0.7124,0.575,0.8625,1,0
Clay,FST,3D,Non-dominant eye perspective,9,1,0.778575,0.625,0.925,1,0
Clay,FST,3D,Stereoscopic,9,0.0909090909090909,0.799775,0.675,0.925,1,0
Clay,FST,3D,Stereoscopic,9,0.181818181818182,0.91905,0.8,1,1,0
Clay,FST,3D,Stereoscopic,9,0.363636363636364,0.976574999999998,0.925,1,1,0
Clay,FST,3D,Stereoscopic,9,0.454545454545455,0.991724999999999,0.95,1,1,0
Clay,FST,3D,Stereoscopic,9,0.636363636363636,0.984324999999999,0.925,1,1,0
Clay,FST,3D,Stereoscopic,9,1,0.995774999999999,0.9625,1,1,0
Clay,FST,2D-only,Combined,27,0.0909090909090909,0.571325,0.4125,0.725,0,0
Clay,FST,2D-only,Combined,27,0.181818181818182,0.541425,0.375,0.7,0,0
Clay,FST,2D-only,Combined,27,0.363636363636364,0.688275,0.525,0.825,1,0
Clay,FST,2D-only,Combined,27,0.454545454545455,0.7083,0.55,0.85,1,0
Clay,FST,2D-only,Combined,27,0.636363636363636,0.63545,0.475,0.8,0,0
Clay,FST,2D-only,Combined,27,1,0.668175,0.5,0.825,0,0
Clay,FST,2D-only,Dominant eye perspective,27,0.0909090909090909,0.649125,0.475,0.8,0,0
Clay,FST,2D-only,Dominant eye perspective,27,0.181818181818182,0.678,0.475,0.85,0,0
Clay,FST,2D-only,Dominant eye perspective,27,0.363636363636364,0.718825,0.425,0.925,0,0
Clay,FST,2D-only,Dominant eye perspective,27,0.454545454545455,0.75195,0.5,0.95,0,0
Clay,FST,2D-only,Dominant eye perspective,27,0.636363636363636,0.75875,0.5,0.9625,0,0
Clay,FST,2D-only,Dominant eye perspective,27,1,0.777875,0.475,1,0,0
Clay,FST,2D-only,Non-dominant eye perspective,27,0.0909090909090909,0.48875,0.35,0.65,0,0
Clay,FST,2D-only,Non-dominant eye perspective,27,0.181818181818182,0.4323,0.25,0.625,0,0
Clay,FST,2D-only,Non-dominant eye perspective,27,0.363636363636364,0.411775,0.2,0.625,0,0
Clay,FST,2D-only,Non-dominant eye perspective,27,0.454545454545455,0.306925,0.1,0.525,0,0
Clay,FST,2D-only,Non-dominant eye perspective,27,0.636363636363636,0.346875,0.125,0.575,0,0
Clay,FST,2D-only,Non-dominant eye perspective,27,1,0.328025,0.075,0.55,0,0
Clay,FST,2D-only,Stereoscopic,27,0.0909090909090909,0.5703,0.4,0.725,0,0
Clay,FST,2D-only,Stereoscopic,27,0.181818181818182,0.43655,0.275,0.6,0,0
Clay,FST,2D-only,Stereoscopic,27,0.363636363636364,0.37555,0.2,0.55,0,0
Clay,FST,2D-only,Stereoscopic,27,0.454545454545455,0.521975,0.35,0.7,0,0
Clay,FST,2D-only,Stereoscopic,27,0.636363636363636,0.4241,0.225,0.625,0,0
Clay,FST,2D-only,Stereoscopic,27,1,0.4273,0.275,0.575,0,0
