RowIndex,NewSourceRow,RefSourceRow,NewMonkey,NewDate,NewROI,NewStimElec,TuningMeanFullEqual,TuningMeanFullMaxAbsDiff,TuningMeanFullNonNanDiffCount,TuningMeanFullSizeMismatch,TuningMeanFullNoZeroEqual,TuningMeanFullNoZeroMaxAbsDiff,TuningMeanFullNoZeroNonNanDiffCount,TuningMeanFullNoZeroSizeMismatch,TuningMeanFullEdge8Equal,TuningMeanFullEdge8MaxAbsDiff,TuningMeanFullEdge8NonNanDiffCount,TuningMeanFullEdge8SizeMismatch,TuningMeanStimEqual,TuningMeanStimMaxAbsDiff,TuningMeanStimNonNanDiffCount,TuningMeanStimSizeMismatch,TuningMeanStimNoZeroEqual,TuningMeanStimNoZeroMaxAbsDiff,TuningMeanStimNoZeroNonNanDiffCount,TuningMeanStimNoZeroSizeMismatch,TuningMeanStimEdge8Equal,TuningMeanStimEdge8MaxAbsDiff,TuningMeanStimEdge8NonNanDiffCount,TuningMeanStimEdge8SizeMismatch,TuningStimMaxDiff_Combined,TuningStimMaxDiff_MonoL,TuningStimMaxDiff_MonoR,TuningStimMaxDiff_Stereo
42,42,42,Jim,16-Mar-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,0,5.69684563763711,144,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.75314830503613,9,0,NaN,NaN,NaN,NaN
43,43,43,Jim,01-Apr-2023,MT,11,0,NaN,NaN,1,0,NaN,NaN,1,0,2.63219204938893,80,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.25637284355781,5,0,NaN,NaN,NaN,NaN
44,44,44,Jim,05-Apr-2023,FST,15,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
45,45,45,Jim,08-Apr-2023,MT,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
46,46,46,Jim,12-Apr-2023,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
47,47,47,Jim,13-Apr-2023,MT,4,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
48,48,48,Jim,20-Apr-2023,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,0,2.21726057064962,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.346825042042317,2,0,NaN,NaN,NaN,NaN
49,49,49,Jim,22-Apr-2023,MT,1,0,NaN,NaN,1,0,NaN,NaN,1,0,2.90505466276448,48,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.90505466276448,3,0,NaN,NaN,NaN,NaN
50,50,50,Jim,06-May-2023,FST,16,0,NaN,NaN,1,0,NaN,NaN,1,0,6.06774539215407,288,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.86866265023553,18,0,NaN,NaN,NaN,NaN
51,51,51,Jim,16-May-2023,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,0,6.50560179564155,224,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.01926811686585,14,0,NaN,NaN,NaN,NaN
52,52,52,Jim,03-Aug-2023,MT,7,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
53,53,53,Jim,08-Aug-2023,FST,6,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
54,54,54,Jim,09-Aug-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
55,55,55,Jim,17-Aug-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
56,56,56,Jim,25-Aug-2023,MT,3,0,NaN,NaN,1,0,NaN,NaN,1,0,26.2627209824902,400,0,0,NaN,NaN,1,0,NaN,NaN,1,0,8.50506659181606,25,0,NaN,NaN,NaN,NaN
57,57,57,Jim,06-Sep-2023,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,0,29.4755506360776,480,0,0,NaN,NaN,1,0,NaN,NaN,1,0,23.0302469547289,32,0,NaN,NaN,NaN,NaN
58,58,58,Jim,08-Sep-2023,FST,6,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
59,59,59,Jim,09-Sep-2023,MT,15,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
60,60,60,Jim,20-Sep-2023,FST,15,0,NaN,NaN,1,0,NaN,NaN,1,0,3.63215093625055,48,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.00185108096522,3,0,NaN,NaN,NaN,NaN
61,61,61,Jim,22-Sep-2023,MT,15,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
62,62,62,Jim,28-Sep-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
63,63,63,Jim,29-Sep-2023,FST,6,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
64,64,64,Jim,23-Oct-2023,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
65,65,65,Jim,25-Oct-2023,FST,14,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
66,66,66,Jim,27-Oct-2023,MT,14,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
67,67,67,Jim,01-Nov-2023,MT,16,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
68,68,68,Jim,06-Dec-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
69,69,69,Jim,08-Dec-2023,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
70,70,70,Jim,20-Dec-2023,FST,14,0,NaN,NaN,1,0,NaN,NaN,1,0,2.71725345925928,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.23510286836122,2,0,NaN,NaN,NaN,NaN
71,71,71,Jim,21-Dec-2023,MT,11,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
72,72,72,Jim,02-Jan-2024,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
73,73,73,Jim,09-Jan-2024,MT,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
74,74,74,Jim,11-Jan-2024,FST,1,0,NaN,NaN,1,0,NaN,NaN,1,0,3.06109021758972,48,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.55347429638327,3,0,NaN,NaN,NaN,NaN
75,75,75,Jim,16-Jan-2024,MT,1,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
76,76,76,Jim,18-Jan-2024,FST,9,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
77,77,77,Jim,07-Feb-2024,MT,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
78,78,78,Jim,08-Feb-2024,FST,1,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
79,79,79,Jim,14-Feb-2024,MT,2,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
80,80,80,Jim,16-Feb-2024,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
81,81,81,Jim,20-Feb-2024,FST,16,0,NaN,NaN,1,0,NaN,NaN,1,0,1.16971828258585,16,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.751095857489304,1,0,NaN,NaN,NaN,NaN
82,82,82,Jim,21-Feb-2024,FST,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
