WorkbookTableRow,ExcelRow,Date,AssignedROI,HoleX,HoleY,GuideTubeMm,DepthMm,TotalDepthMm,OffsetMLMm,OffsetAPMm,OffsetDVMm,NativeI,NativeJ,NativeK,TargetAtlasLabel,NativeAtlasLabel,NativeCorrect,CurrentSagittalAtlasLabel,CurrentSagittalCorrect,MaximumMatchAtlasLabel,MaximumMatchCorrect,RecommendedAtlasLabel,RecommendedCorrect,RecommendedUmm,RecommendedVmm,RecommendedSignedDistanceMm,RecommendedAbsoluteDistanceMm,WithinOneMmSlab,SiteMultiplicity
39,40,23-Jan-2025,FST,22,24,24,12.5,36.5,0,0,-2,166.2,140,61,24,24,1,0,0,24,1,24,1,0.503635987596329,0.703273346987372,-0.338158685550042,0.338158685550042,1,1
41,42,06-Feb-2025,FST,21,23,24,9.3,33.3,0,0,0,163.8,142.4,59.4,24,25,0,25,0,24,1,24,1,-0.3159986126293,-0.966729011202369,-0.581656623433831,0.581656623433831,1,1
42,43,12-Feb-2025,FST,21,25,24,10.8,34.8,0,0,0,163.8,139.4,62.6,24,0,0,24,1,24,1,24,1,1.70355235298195,-0.111611735710264,-0.595380414952138,0.595380414952138,1,1
43,44,14-Feb-2025,FST,23,25,24,12,36,0,0,-1,167,139,62.6,24,24,1,24,1,24,1,24,1,1.25126679200904,1.31694861808343,0.000147155278017961,0.000147155278017961,1,1
44,45,19-Feb-2025,MT,22,22,24,9.8,33.8,0,0,0,166.2,141.4,57.8,25,25,1,0,0,25,1,25,1,-1.11838620961577,0.304218618424388,-0.847863811444189,0.847863811444189,1,1
45,46,26-Feb-2025,MT,19,20,24,8.9,32.9,0,0,-3,161.4,149.2,54.6,25,25,1,25,1,25,1,25,1,-3.50302185081542,-3.8909033734472,-0.353430467063425,0.353430467063425,1,2
47,48,12-Mar-2025,FST,21,25,24,10.6,34.6,0,0,0,163.8,139.8,62.6,24,24,1,24,1,24,1,24,1,1.60417016088216,-0.225627372442546,-0.464523185599023,0.464523185599023,1,1
48,49,14-Mar-2025,FST,23,25,24,12.1,36.1,0,0,-1,167,138.8,62.6,24,24,1,24,1,24,1,24,1,1.30095788805893,1.37395643644957,-0.0652814593985353,0.0652814593985353,1,2
49,50,21-Mar-2025,MT,22,22,24,10.2,34.2,0,0,-2,166.2,144.6,57.8,25,25,1,25,1,25,1,25,1,-1.91344374641407,-0.607906475433853,0.19899402338072,0.19899402338072,1,1
50,51,26-Mar-2025,FST,22,24,24,11.43,35.43,0,0,-2,166.2,142.14,61,24,24,1,24,1,24,1,24,1,-0.0280587401375321,0.0932896904696748,0.361927491489113,0.361927491489113,1,1
51,52,27-Mar-2025,FST,22,26,24,12.5,36.5,0,0,-2,166.2,140,64.2,24,24,1,24,1,24,1,24,1,1.77782051245917,0.703273346987372,0.629546743080005,0.629546743080005,1,1
55,56,09-Apr-2025,FST,22,24,24,11.2,35.2,0,0,-2,166.2,142.6,61,24,24,1,24,1,24,1,24,1,-0.14234826105229,-0.0378282917724502,0.512413305245197,0.512413305245197,1,1
56,57,10-Apr-2025,FST,24,26,24,13.35,37.35,0,0,-2,169.4,138.3,64.2,24,24,1,24,1,24,1,24,1,1.64852707581057,2.50238452016099,0.799788317912553,0.799788317912553,1,1
57,58,11-Apr-2025,MT,20,20,24,8.3,32.3,0,0,-2,163,148.4,54.6,25,25,1,25,1,25,1,25,1,-3.5800913431522,-3.00559974145194,-0.251952525978011,0.251952525978011,1,1
58,59,16-Apr-2025,FST,24,27,24,13.56,37.56,0,0,-1,168.6,135.88,65.8,24,24,1,24,1,24,1,24,1,3.02479853871388,2.86354294312593,0.310358594745409,0.310358594745409,1,1
59,60,17-Apr-2025,FST,22,25,24,12.2,36.2,0,0,-1,165.4,138.6,62.6,24,24,1,24,1,24,1,24,1,1.62648286064518,0.773691896285008,-0.493902473866734,0.493902473866734,1,2
60,61,18-Apr-2025,MT,22,21,24,9.76,33.76,0,0,-3,165.4,147.48,56.2,25,25,1,25,1,25,1,25,1,-3.12817085369579,-1.75745523917163,0.475717160512312,0.475717160512312,1,1
61,62,24-Apr-2025,MT,19,20,24,10.1,34.1,0,0,-5,161.4,150.8,54.6,25,25,1,0,0,25,1,0,0,-3.90055061921458,-4.34696592037633,0.169998450349039,0.169998450349039,1,1
62,63,25-Apr-2025,FST,21,26,24,13.8,37.8,0,0,-2,164.6,137.4,64.2,24,24,1,24,1,24,1,24,1,2.69963863764414,0.787102627216487,-0.58421764750687,0.58421764750687,1,1
64,65,02-May-2025,FST,23,23,24,10.1,34.1,0,0,0,167,140.8,59.4,24,25,0,25,0,24,1,25,0,-0.470137597302845,0.803878252788167,-0.378700741263013,0.378700741263013,1,1
65,66,07-May-2025,FST,22,26,24,11.7,35.7,0,0,0,166.2,137.6,64.2,24,24,1,24,1,24,1,24,1,2.3741136650579,1.38736716738106,-0.15559663303868,0.15559663303868,1,2
66,67,08-May-2025,MT,22,22,24,10.5,34.5,0,0,-2,166.2,144,57.8,25,25,1,25,1,25,1,25,1,-1.76437045826439,-0.436883020335434,0.00270817935105061,0.00270817935105061,1,1
67,68,09-May-2025,MT,20,20,24,7.9,31.9,0,0,-2,163,149.2,54.6,25,25,1,25,1,25,1,25,1,-3.77885572735177,-3.23363101491649,0.00976193272821142,0.00976193272821142,1,1
68,69,13-May-2025,FST,23,25,24,11.43,35.43,0,0,0,167,138.14,62.6,24,24,1,0,0,24,1,24,1,1.46493850502359,1.56208223705784,-0.281195887831182,0.281195887831182,1,1
