n=685
threshold_positive_bins: min=0 median=8 mean=45.8555 max=564
cleanmask_bins: min=0 median=0 mean=33.4131 max=564
ellipsefit_true=341
threshold_bins_counts
0	166
1	53
2	31
3	24
4	20
5	20
6	13
7	12
8	14
9	7
10	11
11	5
12	5
13	11
14	9
15	6
16	4
17	6
18	4
19	6
20	7
21	4
22	8
23	2
24	6
25	7
26	4
27	4
28	4
29	2
30	5
31	2
32	7
33	2
35	2
36	3
37	1
38	2
39	3
40	3
41	4
42	7
43	2
44	2
45	4
46	1
47	1
48	1
49	2
50	3
52	2
53	1
55	2
56	3
58	1
59	1
60	1
61	1
62	2
63	1
64	1
65	1
66	3
67	1
68	2
69	2
71	2
73	1
74	2
75	1
76	2
77	2
78	3
79	1
81	1
82	5
84	1
85	1
86	1
87	1
88	2
89	1
90	1
91	1
92	1
93	2
94	2
97	1
98	1
101	1
103	1
104	1
106	2
107	2
108	1
114	1
116	1
118	1
120	1
121	1
123	1
124	1
125	3
130	2
134	1
137	1
138	1
139	1
141	1
142	2
146	1
153	1
158	1
159	1
160	1
168	1
169	1
170	2
181	1
182	1
187	1
190	2
191	2
193	1
195	1
200	1
202	1
203	1
214	1
222	1
234	1
236	1
241	3
245	1
248	2
252	1
255	1
269	1
275	1
277	1
279	1
281	1
283	1
284	1
288	1
310	1
318	1
319	1
320	1
322	1
329	1
337	1
363	1
379	1
383	1
385	1
410	2
411	1
418	1
422	1
426	1
436	1
463	1
482	2
504	1
518	1
564	1

cleanmask_bins_counts
0	344
3	33
4	25
5	15
6	10
7	16
8	11
9	8
10	8
11	3
12	6
13	5
14	4
15	7
16	2
17	4
18	3
19	8
20	6
21	2
22	3
24	1
25	6
26	3
27	1
29	5
30	2
31	5
32	2
34	4
35	1
38	1
39	2
40	2
41	2
42	3
43	1
44	2
45	1
46	1
49	3
50	1
51	2
52	1
54	1
55	1
58	3
59	1
60	3
61	4
64	1
65	2
66	2
69	1
71	1
74	2
76	1
80	1
81	1
82	1
83	1
85	2
86	3
87	1
89	1
91	2
92	1
100	1
104	1
105	1
108	1
109	1
110	1
111	1
112	2
114	1
115	1
117	2
121	2
123	1
127	1
128	1
137	1
140	1
144	1
152	1
154	2
155	1
157	1
159	1
160	1
163	1
164	1
168	1
170	1
174	1
175	1
179	2
196	1
200	1
206	1
207	1
213	1
221	1
223	1
225	1
227	1
230	1
233	1
240	1
253	2
280	1
281	1
286	1
299	1
307	1
308	1
329	1
334	1
340	1
346	1
357	1
379	1
381	1
398	1
402	1
409	1
413	1
429	1
472	1
473	1
483	1
491	1
564	1
