TrialType,TrialCount,TrialsWithMicrosaccade,TrialsWithMicrosaccadePct,MicrosaccadeCount,MeanCountPerTrial,MedianCountPerTrial,MeanRateHz,MedianRateHz,MeanAmplitudeDeg,MeanPeakVelocityDegS
NonStim,526,385,73.1939163498099,1545,2.93726235741445,1,3.02794068348226,1.03626943005166,0.0607898975797175,10.6139292439973
Stim,523,380,72.6577437858509,1318,2.52007648183556,1,2.59040280757778,1.03519668737047,0.0602744447999261,10.7218041603765
