TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,DetectionSource,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
5,NonStim,0,4,0.6363,NaN,1,Left,0.0762666666666689,0.084266666666668,NaN,9.000000000011,0.0810663854277476,NaN,0.0810663854277476,12.2675383318101,NaN,12.2675383318101,0.0132978129200086,0.0799682875761672,80.5587564194518,NaN,NaN
5,NonStim,0,4,0.6363,NaN,2,Left,0.107266666666668,0.11226666666667,NaN,6.00000000000733,0.0480214805937287,NaN,0.0480214805937287,11.0976508946185,NaN,11.0976508946185,0.026595628146506,-0.0399841863979579,303.630010439824,NaN,NaN
5,NonStim,0,4,0.6363,NaN,3,Left,0.19326666666667,0.19926666666667,NaN,7.00000000000855,0.0405332294309225,NaN,0.0405332294309225,9.41367506082186,NaN,9.41367506082186,-0.00664890710288432,0.0399841809024146,99.441235871158,NaN,NaN
5,NonStim,0,4,0.6363,NaN,4,Right,0.42026666666667,0.425266666666669,NaN,6.00000000000733,NaN,0.0613802921733401,0.0613802921733401,NaN,14.4579997031506,14.4579997031506,-0.039893433331351,-0.0466481965816648,229.463012317035,NaN,NaN
6,NonStim,0,4,0.4545,NaN,1,Right,0.106366666666666,0.111366666666669,NaN,6.00000000000733,NaN,0.0533121967454538,0.0533121967454538,NaN,12.2173806143128,12.2173806143128,0,-0.0533121967454538,270,NaN,NaN
6,NonStim,0,4,0.4545,NaN,2,Right,0.701366666666669,0.706366666666668,NaN,6.00000000000733,NaN,0.051999328765709,0.051999328765709,NaN,11.0976426325515,11.0976426325515,0.0332445188734891,-0.0399841488211831,309.741573643128,NaN,NaN
6,NonStim,0,4,0.4545,NaN,3,Left,0.912366666666667,0.921366666666668,NaN,10.0000000000122,0.0745007190587304,NaN,0.0745007190587304,11.1618610729296,NaN,11.1618610729296,-0.0132978109548733,0.0733043338696719,100.281957742289,NaN,NaN
6,NonStim,0,4,0.4545,NaN,4,Left,0.965366666666668,0.971366666666668,NaN,7.00000000000855,0.0421374015642092,NaN,0.0421374015642092,9.15759155398836,NaN,9.15759155398836,0.0132978133179494,0.0399841064867578,71.6040365707043,NaN,NaN
7,NonStim,0,4,1,NaN,1,Left,0.496200000000002,0.508200000000002,NaN,13.0000000000159,0.101658628889837,NaN,0.101658628889837,12.9309359872721,NaN,12.9309359872721,0.0531912442958366,-0.0866323747684564,301.549428457967,NaN,NaN
9,NonStim,0,4,-0.6363,NaN,1,Left,0.499266666666664,0.506266666666669,NaN,7.99999999998136,0.0666403056099902,NaN,0.0666403056099902,11.1618634795047,NaN,11.1618634795047,0,-0.0666403056099902,270,NaN,NaN
13,NonStim,0,2,1,NaN,1,Merged,0.0732333333333202,0.0782333333333298,NaN,6.00000000002865,0.0446833995041804,0.0470683509995787,0.0458758752518795,10.4713810078917,9.41367032526134,10.4713810078917,-0.0265956194472563,0.0366521587297357,125.965471444825,0,18.4218914729017
13,NonStim,0,2,1,NaN,2,Right,0.233233333333317,0.238233333333326,NaN,6.00000000002865,NaN,0.0358756515438637,0.0358756515438637,NaN,7.02290878339649,7.02290878339649,0.0132978120139912,-0.0333201225888694,291.756572863399,NaN,NaN
14,Stim,1,2,-0.0909,-0.0648333333333397,1,Left,0.780499999999989,0.78649999999999,0.845333333333329,7.00000000003342,0.0399841870097326,NaN,0.0399841870097326,8.00357973565042,NaN,8.00357973565042,-4.5102810375397e-17,-0.0399841870097326,270,NaN,NaN
14,Stim,1,2,-0.0909,-0.0648333333333397,2,Left,0.882499999999993,0.887499999999989,0.947333333333333,6.00000000002865,0.0480214651909881,NaN,0.0480214651909881,11.0976468800657,NaN,11.0976468800657,0.0265956281617761,-0.039984167888926,303.630022685534,NaN,NaN
18,Stim,1,3,-0.6363,-0.0568666666666644,1,Left,0.165866666666659,0.178866666666664,0.222733333333323,14.0000000000668,0.0426328515830976,NaN,0.0426328515830976,8.95420813984236,NaN,8.95420813984236,0.0265956275542169,0.0333201534976027,51.4036776994219,NaN,NaN
18,Stim,1,3,-0.6363,-0.0568666666666644,2,Left,0.792866666666669,0.798866666666669,0.849733333333333,7.00000000003342,0.0778440752104974,NaN,0.0778440752104974,14.4108020940955,NaN,14.4108020940955,0.0731379087449027,0.0266560752887567,20.0249362096466,NaN,NaN
18,Stim,1,3,-0.6363,-0.0568666666666644,3,Left,0.80286666666666,0.810866666666669,0.859733333333324,9.00000000004297,0.0684913529724264,NaN,0.0684913529724264,12.5515465106939,NaN,12.5515465106939,-0.0598401098410346,-0.0333200643187616,209.109857864468,NaN,NaN
24,NonStim,0,1,1,NaN,1,Right,0.468433333333309,0.479433333333304,NaN,12.0000000000573,NaN,0.143502627998874,0.143502627998874,NaN,14.4338683636648,14.4338683636648,-0.0531912395455477,0.133280517249114,111.756565727431,NaN,NaN
24,NonStim,0,1,1,NaN,2,Right,0.483433333333323,0.489433333333324,NaN,7.00000000003342,NaN,0.0745006249022453,0.0745006249022453,NaN,13.7363967952723,13.7363967952723,0.0132978069065767,-0.0733042389108601,280.281967714085,NaN,NaN
25,Stim,1,3,-1,-0.0507333333333122,1,Left,0.640833333333347,0.646833333333348,0.69156666666666,7.00000000003342,0.0421374241999983,NaN,0.0421374241999983,8.66654904727363,NaN,8.66654904727363,-0.0132978138956775,0.0399841301494297,108.395954020856,NaN,NaN
27,Stim,1,1,0.3636,-0.0557333333333645,1,Right,0.269266666666653,0.275266666666653,0.325000000000017,7.00000000003342,NaN,0.0399841466955211,0.0399841466955211,NaN,7.447232197524,7.447232197524,0,-0.0399841466955211,270,NaN,NaN
27,Stim,1,1,0.3636,-0.0557333333333645,2,Left,0.619266666666647,0.626266666666652,0.675000000000011,8.0000000000382,0.06589566337044,NaN,0.06589566337044,11.0905838229296,NaN,11.0905838229296,0.0465423424125711,-0.0466481383742302,314.934954091477,NaN,NaN
28,NonStim,0,1,-0,NaN,1,Left,0.329933333333315,0.334933333333311,NaN,6.00000000002865,0.0446833904333267,NaN,0.0446833904333267,10.4713795458552,NaN,10.4713795458552,-0.0199467120606752,0.0399841726009883,116.513011939017,NaN,NaN
29,NonStim,0,3,-0.6363,NaN,1,Left,0.09699999999998,0.101999999999975,NaN,6.00000000002865,0.0446833970182996,NaN,0.0446833970182996,9.54703931535506,NaN,9.54703931535506,0.0199467212825528,-0.0399841753593986,296.513020941366,NaN,NaN
32,NonStim,0,1,0.6363,NaN,1,Merged,0.313666666666649,0.324666666666644,NaN,12.0000000000573,0.0866033368764161,0.101467766487011,0.0940355516817133,9.41367358363405,12.4167862005571,12.4167862005571,-0.0365689820242727,-0.0866323906976815,247.114577995687,-1.00000000000477,0.577803334188843
32,NonStim,0,1,0.6363,NaN,2,Right,0.757666666666637,0.763666666666637,NaN,7.00000000003342,NaN,0.0446833902739218,0.0446833902739218,NaN,8.66655720208017,8.66655720208017,0.0199467211229764,-0.0399841679019812,296.513025026914,NaN,NaN
