SessionID,SessionIndex,Block,ComparatorCondition,RightEyeRate,ComparatorRate,Difference
Jim_001,1,nonStim,Combined,0.844262295081967,0.933884297520661,-0.0896220024386939
Jim_002,2,nonStim,Combined,0.801418439716312,0.878571428571429,-0.0771529888551165
Jim_003,3,nonStim,Combined,0.661870503597122,0.934306569343066,-0.272436065745943
Jim_004,4,nonStim,Combined,0.790322580645161,0.912,-0.121677419354839
Jim_005,5,nonStim,Combined,0.696969696969697,0.888059701492537,-0.19109000452284
Jim_006,6,nonStim,Combined,0.844594594594595,0.965986394557823,-0.121391799963228
Jim_007,7,nonStim,Combined,0.739495798319328,0.909090909090909,-0.169595110771581
Jim_008,8,nonStim,Combined,0.613636363636364,0.871212121212121,-0.257575757575758
Jim_009,9,nonStim,Combined,0.633333333333333,0.925619834710744,-0.292286501377411
Jim_010,10,nonStim,Combined,0.621848739495798,0.885245901639344,-0.263397162143546
Jim_011,11,nonStim,Combined,0.772727272727273,0.96969696969697,-0.196969696969697
Jim_012,12,nonStim,Combined,0.828125,0.96875,-0.140625
Jim_013,13,nonStim,Combined,0.795081967213115,0.959016393442623,-0.163934426229508
Jim_014,14,nonStim,Combined,0.685897435897436,0.928571428571429,-0.242673992673993
Jim_015,15,nonStim,Combined,0.734806629834254,0.961538461538462,-0.226731831704207
Jim_016,16,nonStim,Combined,0.782608695652174,0.931623931623932,-0.149015235971758
Jim_017,17,nonStim,Combined,0.891666666666667,0.923076923076923,-0.0314102564102564
Jim_018,18,nonStim,Combined,0.804511278195489,0.924812030075188,-0.120300751879699
Jim_019,19,nonStim,Combined,0.867768595041322,0.934426229508197,-0.0666576344668744
Jim_020,20,nonStim,Combined,0.776,0.936507936507937,-0.160507936507936
Jim_021,21,nonStim,Combined,0.8125,0.944444444444444,-0.131944444444444
Jim_022,22,nonStim,Combined,0.783333333333333,0.892561983471074,-0.109228650137741
Jim_023,23,nonStim,Combined,0.823529411764706,0.96,-0.136470588235294
Jim_024,24,nonStim,Combined,0.733333333333333,0.975,-0.241666666666667
Jim_025,25,nonStim,Combined,0.808333333333333,0.949579831932773,-0.14124649859944
Jim_026,26,nonStim,Combined,0.783333333333333,0.950819672131147,-0.167486338797814
Jim_027,27,nonStim,Combined,0.685950413223141,0.9,-0.214049586776859
Jim_028,28,nonStim,Combined,0.883333333333333,0.931623931623932,-0.0482905982905983
Jim_029,29,nonStim,Combined,0.644628099173554,0.848739495798319,-0.204111396624766
Jim_030,30,nonStim,Combined,0.743055555555556,0.923611111111111,-0.180555555555556
Jim_031,31,nonStim,Combined,0.691666666666667,0.915966386554622,-0.224299719887955
Jim_032,32,nonStim,Combined,0.651612903225806,0.921052631578947,-0.269439728353141
Jim_033,33,nonStim,Combined,0.762295081967213,0.908333333333333,-0.14603825136612
Jim_034,34,nonStim,Combined,0.866666666666667,0.975,-0.108333333333333
Jim_035,35,nonStim,Combined,0.831521739130435,0.933701657458563,-0.102179918328129
Jim_036,36,nonStim,Combined,0.668639053254438,0.905325443786982,-0.236686390532544
Jim_037,37,nonStim,Combined,0.716666666666667,0.900826446280992,-0.184159779614325
Jim_038,38,nonStim,Combined,0.821428571428571,0.964285714285714,-0.142857142857143
Jim_039,39,nonStim,Combined,0.701388888888889,0.881118881118881,-0.179729992229992
Jim_040,40,nonStim,Combined,0.699186991869919,0.958677685950413,-0.259490694080495
Jim_041,41,nonStim,Combined,0.752,0.904761904761905,-0.152761904761905
Jim_042,42,nonStim,Combined,0.605769230769231,0.88,-0.274230769230769
Jim_043,43,nonStim,Combined,0.684210526315789,0.888059701492537,-0.203849175176748
Jim_044,44,nonStim,Combined,0.669421487603306,0.933333333333333,-0.263911845730028
Jim_045,45,nonStim,Combined,0.808333333333333,0.941666666666667,-0.133333333333333
Jim_046,46,nonStim,Combined,0.8,0.908333333333333,-0.108333333333333
Jim_047,47,nonStim,Combined,0.808333333333333,0.917355371900826,-0.109022038567493
Jim_048,48,nonStim,Combined,0.841666666666667,0.933333333333333,-0.0916666666666667
Jim_049,49,nonStim,Combined,0.828767123287671,0.895833333333333,-0.0670662100456622
Jim_050,50,nonStim,Combined,0.724409448818898,0.912,-0.187590551181102
Jim_051,51,nonStim,Combined,0.783333333333333,0.916666666666667,-0.133333333333333
Jim_052,52,nonStim,Combined,0.760330578512397,0.959016393442623,-0.198685814930226
Jim_053,53,nonStim,Combined,0.75,0.918032786885246,-0.168032786885246
Jim_054,54,nonStim,Combined,0.710743801652893,0.910569105691057,-0.199825304038164
Jim_055,55,nonStim,Combined,0.781954887218045,0.924242424242424,-0.142287537024379
Jim_056,56,nonStim,Combined,0.736842105263158,0.9,-0.163157894736842
Jim_057,57,nonStim,Combined,0.908333333333333,0.916666666666667,-0.0083333333333333
Jim_058,58,nonStim,Combined,0.768,0.935483870967742,-0.167483870967742
Jim_059,59,nonStim,Combined,0.761904761904762,0.910344827586207,-0.148440065681445
Jim_060,60,nonStim,Combined,0.644628099173554,0.9,-0.255371900826446
Jim_061,61,nonStim,Combined,0.756944444444444,0.881944444444444,-0.125
Jim_062,62,nonStim,Combined,0.702479338842975,0.950413223140496,-0.247933884297521
Jim_063,63,nonStim,Combined,0.702479338842975,0.925619834710744,-0.223140495867769
Jim_064,64,nonStim,Combined,0.741666666666667,0.918032786885246,-0.176366120218579
Jim_065,65,nonStim,Combined,0.711538461538462,0.895833333333333,-0.184294871794872
Jim_066,66,nonStim,Combined,0.611570247933884,0.883333333333333,-0.271763085399449
