Block,Comparison,RightEyeCondition,ComparatorCondition,NPairs,PooledRightCorrect,PooledRightTrials,PooledRightRate,PooledComparatorCorrect,PooledComparatorTrials,PooledComparatorRate,MeanPairedDifference,MedianPairedDifference,SEMPairedDifference,PairedDifferenceCILow,PairedDifferenceCIHigh,EffectSizeDz,PairedTTestP,PairedTStat,PairedTDf,SignrankP
nonStim,MonoR - Combined,MonoR,Combined,151,14852,19419,0.76481796179,17709,19326,0.916330332194971,-0.150453186865605,-0.142287537024379,0.00537425524824219,-0.161072206460206,-0.139834167271004,-2.27821458790252,1.95396011264359e-61,-27.9951695474113,150,1.57503979755292e-26
nonStim,MonoR - MonoL,MonoR,MonoL,151,14852,19419,0.76481796179,15683,19325,0.811539456662354,-0.0456735963882853,-0.05,0.00728138729635899,-0.060060928363484,-0.0312862644130866,-0.510461044009355,3.60303159924303e-09,-6.27265032463306,150,1.12793490580363e-08
nonStim,MonoR - Bino,MonoR,Bino,151,14852,19419,0.76481796179,16433,19352,0.849162877221993,-0.0827588904270981,-0.0759641873278237,0.0050949351303119,-0.0928259999116538,-0.0726917809425423,-1.32186628814166,7.13133794685496e-35,-16.2433648928582,150,1.00676407816914e-24
