Block,Comparison,RightEyeCondition,ComparatorCondition,NRows,NExpandedTrials,RightEyeLogOddsEstimate,RightEyeLogOddsSE,RightEyeLogOddsP,RightEyeByAbsCoherenceEstimate,RightEyeByAbsCoherenceSE,RightEyeByAbsCoherenceP,OrdinaryR2
nonStim,MonoR vs Combined,MonoR,Combined,3624,38745,-3.03995889627426,0.0977448611538477,8.98235922722748e-210,-6.33761586056578,0.313534089627612,2.18291788241404e-90,0.0529210555615799
nonStim,MonoR vs MonoL,MonoR,MonoL,3624,38744,-0.463504694510728,0.0365844206584741,1.03278796354592e-36,-0.749725211506829,0.139354851380371,7.49286283992177e-08,0.203516015970426
nonStim,MonoR vs Bino,MonoR,Bino,3624,38771,-0.687854124200912,0.0380597919186469,1.03542508875808e-72,-0.260135539953204,0.14358280482549,0.0700332217963237,0.168894144831504
