TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
27,1,Stim,1,1,141.023733333333,141.9973,-0.0557333333333645,0.974000000000018,999.999999995225,1,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868816319895,7.9968369190144,11.9680310415851,7.99679797479783
28,1,NonStim,0,1,144.383066666667,145.3569,NaN,0.973000000000013,999.999999995225,1,-0,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868821376625,6.66402808089035,11.9680315213496,5.3312239060223
29,1,NonStim,0,1,147.8,148.7629,NaN,0.962999999999994,999.999999995225,3,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868842201278,11.9952457908959,11.9680298370843,9.32964094432765
30,1,Stim,1,1,150.982466666667,151.956233333333,-0.0535666666666543,0.97399999999999,999.999999995225,3,-0,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97867599866783,5.33122382660368,11.8939258289147,6.66402764026642
31,1,Stim,1,1,154.408233333333,155.3768,-0.0552999999999884,0.968000000000018,999.999999995225,2,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868824848807,3.9984186051008,11.968031023199,5.33120382656208
32,1,NonStim,0,1,157.900333333333,158.8651,NaN,0.965000000000003,999.999999995225,1,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868800217454,6.66402866114717,11.9680327725782,7.99683539287634
33,1,Stim,1,1,161.192433333333,162.171633333333,-0.0560666666666805,0.978999999999985,999.999999995225,2,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680309466569,11.995251005217,13.2978138930398,11.9952521920035
34,1,NonStim,0,1,164.5939,165.565833333333,NaN,0.972000000000008,999.999999995225,2,-0.1818,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868814252556,10.6624503025069,11.9680326821807,7.99683760498386
35,1,Stim,1,1,167.960866666667,168.9332,-0.056366666666662,0.972999999999985,999.999999995225,1,0.1818,1,0,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3084681834628,1.33280630067778,11.9680249477741,5.33122507919115
36,1,Stim,1,1,171.543733333333,172.519633333333,-0.0533333333333417,0.975999999999999,999.999999995225,2,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868715561402,11.9952475411671,11.9680315169025,7.99682638642484
37,1,Stim,1,1,174.8612,175.8367,-0.0645666666666784,0.975000000000023,999.999999995225,1,0.0909,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868707301424,11.995241407631,11.968028112439,5.33122139694033
38,1,NonStim,0,1,178.2114,179.184966666667,NaN,0.973000000000013,999.999999995225,4,0.1818,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680035670267,5.33122519282626,11.9680327292484,7.9968302456794
39,1,NonStim,0,1,181.588833333333,182.5556,NaN,0.967000000000013,999.999999995225,4,0.0909,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868842947037,6.66403135084603,11.9680045100495,5.33121969331516
40,1,Stim,1,1,185.012333333333,185.9875,-0.0504999999999995,0.974999999999994,999.999999995225,2,-0.6363,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680270881381,5.33122470413643,11.9680311165388,6.66403145146247
41,1,NonStim,0,1,188.321766666667,189.295033333333,NaN,0.97399999999999,999.999999995225,1,0.0909,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868816046242,7.99683501734957,11.9680277421259,5.33122474536383
42,1,NonStim,0,1,191.6716,192.645233333333,NaN,0.974000000000018,999.999999995225,3,-0.0909,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382298545777,7.99683191431746,13.2978122403102,7.99683336897167
43,1,NonStim,0,1,194.997333333333,195.970266666667,NaN,0.973000000000013,999.999999995225,1,0.1818,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890675253125,6.66402782616278,11.9680236595103,7.99683719604174
44,1,Stim,1,1,198.364466666667,199.3282,-0.0491666666666504,0.963999999999999,999.999999995225,4,0.0909,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382513453306,5.33122499754227,11.9680314953508,5.3312251691202
45,1,Stim,1,1,201.7065,202.6735,-0.0595333333333485,0.967000000000013,999.999999995225,3,-0.3636,-1,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890536398636,5.33122504836121,11.9680284425691,7.99683622147965
46,1,Stim,1,1,205.181966666667,206.156133333333,-0.0520333333333554,0.975000000000023,999.999999995225,2,-1,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868841297308,5.33122501353128,13.2978106472693,9.32963478707156
47,1,NonStim,0,1,208.407466666667,209.3924,NaN,0.985000000000014,999.999999995225,3,0.0909,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9786873023783,7.99682810351791,11.9680314803828,7.99683713650382
48,1,Stim,1,1,211.792766666667,212.755966666667,-0.0570000000000164,0.962999999999994,999.999999995225,4,-1,-1,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890603568745,1.33280614034905,11.9680323101049,6.6640309128016
49,1,Stim,1,1,215.2,216.173066666667,-0.0515333333333103,0.974000000000018,999.999999995225,1,-0,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890691813425,5.33122331201975,10.6382471227357,5.33122430150459
50,1,NonStim,0,1,218.600133333333,219.565066666667,NaN,0.965000000000003,999.999999995225,2,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382447305618,7.99683779792376,11.9680304746738,6.6640294679822
51,1,NonStim,0,1,221.9846,222.951366666667,NaN,0.966999999999985,999.999999995225,2,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30846989113062,5.33122200495998,11.9680327948544,9.329631430299
52,1,Stim,1,1,225.359766666667,226.328,-0.0529666666666628,0.968999999999994,999.999999995225,1,-0.6363,-1,1,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9573707955544,11.995207502499,17.2871540467454,6.66402864995244
53,1,Stim,1,1,228.6935,229.657766666667,-0.0573666666666668,0.964000000000027,999.999999995225,4,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868848713524,7.9968372950195,11.8938761407985,6.66403009256831
54,1,NonStim,0,1,232.102433333333,233.0745,NaN,0.972000000000008,999.999999995225,2,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382414992199,6.66402985701318,11.9680298726272,7.99683400893236
