TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
24,NonStim,0,1,1,NaN,1,0.464433333333318,0.479433333333304,NaN,16.0000000000764,0.138639715644996,0.14971233115671,0.144176023400853,13.3609809932456,13.5771722478193,13.5771722478193,-0.0478721201487162,0.135946152664385,109.399221021885,4.0000000000191,2.93674414612218
62,NonStim,0,3,-0.1818,NaN,1,0.0821333333333314,0.101133333333337,NaN,19.9999999995271,0.280378118089481,0.294561495969465,0.287469807029473,21.3248780980524,25.7608400657186,25.7608400657186,0.0438827820289451,-0.283886998716725,278.787139154554,0,4.39382535182676
62,NonStim,0,3,-0.1818,NaN,2,0.468133333333355,0.483133333333342,NaN,15.9999999996217,0.217564503047636,0.194781858394994,0.206173180721315,21.2114276270021,17.9084155583553,21.2114276270021,0.0345743148066749,0.203252673789133,80.3461025771301,0,0.328284942560174
80,NonStim,0,4,-0.3636,NaN,1,0.410733333333383,0.43573333333336,NaN,25.9999999993852,0.269935653213269,0.289953893047396,0.279944773130332,28.8910237909024,23.1284748280879,28.8910237909024,0.0385636583689813,0.27722283879599,82.0805730748139,7.99999999981083,2.22172917821692
109,Stim,1,4,-0.4545,-0.0632999999999697,1,0.856533333333402,0.870533333333356,0.919833333333372,14.9999999996453,0.163280905406463,0.246336332021151,0.204808618713807,17.1025827536671,21.8419708479083,21.8419708479083,0.0997335782571906,-0.17726299795011,299.363435390436,0,13.7652540364126
122,Stim,1,1,-0.0909,-0.0548666666666122,1,0.808300000000031,0.823300000000074,0.863166666666643,15.9999999996217,0.16511950183375,0.176948165363246,0.171033833598498,12.8323427797175,19.1820604613055,19.1820604613055,-0.0851059621718586,-0.147941311022841,240.089542128237,1.99999999995271,7.43771402801588
158,NonStim,0,4,-0.6363,NaN,1,0.691399999999931,0.712400000000002,NaN,21.9999999994798,0.250350156648247,0.281076308295197,0.265713232471722,17.7528201237451,20.5844853121977,20.5844853121977,0.188828167138713,-0.185925908034589,315.443714650287,0.999999999976353,8.41739891447401
163,NonStim,0,3,-0,NaN,1,0.922633333333351,0.936633333333361,NaN,14.9999999996453,0.231814168842121,0.260526059545852,0.246170114193986,23.4092343330383,23.5629047001879,23.5629047001879,0.0279253835495284,-0.24456948581077,276.513924463987,0,1.10981801421821
186,Stim,1,3,-0,-0.0700333333332992,1,0.645900000000097,0.664900000000102,0.715933333333396,19.9999999995271,0.283565980002915,0.345402518346772,0.314484249174844,29.4041776805689,26.6218092904052,29.4041776805689,-0.0179520439939633,-0.313874527489905,266.726535991347,-1.99999999995271,2.85648049406359
191,NonStim,0,2,-1,NaN,1,0.61906666666664,0.636066666666579,NaN,17.9999999995744,0.192436203185602,0.165220728586228,0.178828465885915,18.0828203242831,14.2496997951195,18.0828203242831,0.0970738671194504,-0.148607768407116,303.15345392673,-0.999999999976353,13.9970228479498
206,Stim,1,4,0.4545,-0.0556666666666388,1,0.548099999999977,0.566100000000006,0.603766666666615,18.9999999995507,0.0836323437363904,0.179531941979759,0.131582142858075,8.67479921073637,15.6989974922884,15.6989974922884,0.0551859002853209,-0.117952964222464,295.073183423812,-0.999999999976353,17.7022257893026
211,NonStim,0,2,-0.6363,NaN,1,0.379766666666683,0.394766666666669,NaN,15.9999999996217,0.118133667235809,0.139081173096016,0.128607420165913,11.4480033930093,10.5877171249437,11.4480033930093,-0.0565156999215237,0.115287672420586,116.114768115249,-2.99999999992906,6.60930681057755
214,NonStim,0,1,0.0909,NaN,1,0.900333333333379,0.92033333333336,NaN,20.9999999995034,0.321216268959244,0.279967295126247,0.300591782042746,23.5555994548211,24.6817682530418,24.6817682530418,-0.00465423187180684,-0.300546795370991,269.11279529996,0.999999999976353,0.886441629393971
216,Stim,1,2,-0.6363,-0.0512666666666064,1,0.884599999999978,0.900600000000054,0.935866666666584,16.999999999598,0.186824084631118,0.159404021232342,0.17311405293173,14.4997747885761,13.5907622068664,14.4997747885761,0.0126329184870163,-0.172597668364153,274.186177727588,0.999999999976353,2.88936849787882
250,Stim,1,1,-0.0909,-0.0482666666666773,1,0.255400000000009,0.272399999999948,0.303666666666686,17.9999999995744,0.221634898818538,0.179583326121338,0.200609112469938,19.3863776738786,17.4792422996402,19.3863776738786,0.047872112981488,0.194589507406891,76.1788014059253,-0.999999999976353,5.36560285977106
272,Stim,1,1,0.3636,-0.0544666666667126,1,0.930999999999926,0.961999999999989,0.985466666666639,31.9999999992433,0.230981561654617,0.319535032263289,0.275258296958953,17.0814209267197,18.8484242057097,18.8484242057097,0.124334507173745,-0.245235244972983,296.885052556784,6.99999999983447,5.46488724297825
281,Stim,1,3,0.4545,-0.0570333333332655,1,0.583066666666696,0.598066666666682,0.640099999999961,15.9999999996217,0.112144030002901,0.215636959817715,0.163890494910308,10.9206257595608,18.9021980358581,18.9021980358581,0.0511965771381947,-0.155271768492873,288.248544431087,0,8.39910353209132
313,NonStim,0,1,-0.3636,NaN,1,0.809999999999945,0.823999999999842,NaN,14.9999999996453,0.222063962132706,0.287048682796554,0.25455632246463,20.967971193159,25.4015065122339,25.4015065122339,0.0724730113651028,-0.243902031080161,286.548782199005,-0.999999999976353,3.46853390176864
353,NonStim,0,1,1,NaN,1,0.442833333333283,0.470833333333303,NaN,28.9999999993142,0.374445474655902,0.496033198852822,0.435239336754362,20.8804196755532,22.7493811762422,22.7493811762422,0.118350358475791,-0.415164952027766,285.911170087647,-2.99999999992906,14.760016473309
381,NonStim,0,2,-0,NaN,1,0.868233333333364,0.882233333333261,NaN,14.9999999996453,0.214287663786261,0.313578128523847,0.263932896155054,21.8753474624919,31.2088525233873,31.2088525233873,-0.0671539467158535,-0.255231426179614,255.259002332901,-1.99999999995271,1.23780797724015
383,NonStim,0,3,0.4545,NaN,1,0.783666666666704,0.80266666666671,NaN,19.9999999995271,0.251837750855332,0.302593009108591,0.277215379981961,16.6600670026962,19.1047876758204,19.1047876758204,-0.0152924858699603,-0.276556695331733,266.834994358773,-0.999999999976353,4.75071232007127
389,Stim,1,3,0.1818,-0.0490666666669313,1,0.485299999999825,0.516299999999774,0.534366666666756,31.9999999992433,0.400476636804242,0.430839220187729,0.415657928495986,29.1003861613224,32.2215979747325,32.2215979747325,0.019946719082803,-0.415165172667613,272.750675478108,1.99999999995271,0.936402220119703
389,Stim,1,3,0.1818,-0.0490666666669313,2,0.749299999999721,0.770299999999679,0.798366666666652,21.9999999994798,0.249830849858587,0.22829541467222,0.239063132265404,25.5404481200335,26.5282814238119,26.5282814238119,0.00199467475759929,0.238569917204295,89.520963147953,4.99999999988177,7.30704700390726
390,NonStim,0,4,-0,NaN,1,0.847966666666707,0.861966666666603,NaN,14.9999999996453,0.348114647473008,0.367855171211727,0.357984909342367,37.1128646528586,37.8413692740401,37.8413692740401,0.00598401547483312,-0.357856668690368,270.958000534717,-0.999999999976353,2.39632624098238
400,Stim,1,4,0.1818,-0.0546333333334132,1,0.628433333333305,0.645433333333358,0.683066666666718,17.9999999995744,0.221675243875439,0.30358375039992,0.26262949713768,21.5641024108852,26.2412111692749,26.2412111692749,0.117020388437903,-0.23390605127737,296.578250183913,-4.99999999988177,10.5465550754889
410,NonStim,0,3,-1,NaN,1,0.455299999999852,0.483299999999872,NaN,28.9999999993142,0.17798782415666,0.176561182674161,0.177274503415411,14.7959360043218,13.0635055027002,14.7959360043218,-0.0445476576000798,-0.00333251515876068,184.278206227841,-12.9999999996926,150.812471836272
418,NonStim,0,2,0.0909,NaN,1,0.502999999999929,0.521999999999935,NaN,19.9999999995271,0.144050155921926,0.182141864350671,0.163096010136299,13.9834773639762,18.2091139541754,18.2091139541754,0.101063306985283,0.12661611347571,51.4035955278185,4.99999999988177,13.3571338787307
