Monkey,Date,ROI,ND,OriginalRecIdx
Clay,01-Aug-2024,FST,MN,155
Clay,06-Aug-2024,MT,2D,156
Clay,08-Aug-2024,FST,MN,157
Clay,13-Aug-2024,MT,2D,158
Clay,15-Aug-2024,MT,2D,159
Clay,20-Aug-2024,FST,3D,160
Clay,22-Aug-2024,FST,NA,161
Clay,29-Aug-2024,FST,3D,162
Clay,03-Sep-2024,MT,2D,163
Clay,05-Sep-2024,MT,2D,164
Clay,19-Sep-2024,MT,2D,165
Clay,26-Sep-2024,MT,MN,166
Clay,22-Oct-2024,MT,MN,167
Clay,12-Nov-2024,FST,2D,168
Clay,14-Nov-2024,FST,NA,169
Clay,21-Nov-2024,MT,MN,170
Clay,26-Nov-2024,MT,2D,171
Clay,28-Nov-2024,MT,3D,172
Clay,24-Dec-2024,MT,2D,173
Clay,26-Dec-2024,MT,NA,174
Clay,07-Jan-2025,FST,MN,175
Clay,09-Jan-2025,FST,2D,176
Clay,14-Jan-2025,MT,2D,177
Clay,16-Jan-2025,MT,MN,178
Clay,21-Jan-2025,MT,2D,179
Clay,23-Jan-2025,FST,2D,180
Clay,06-Feb-2025,FST,MN,182
Clay,12-Feb-2025,FST,MN,183
Clay,14-Feb-2025,FST,3D,184
Clay,19-Feb-2025,MT,2D,185
Clay,26-Feb-2025,MT,2D,186
Clay,12-Mar-2025,FST,MN,187
Clay,14-Mar-2025,FST,NA,188
Clay,21-Mar-2025,MT,MN,189
Clay,26-Mar-2025,FST,NA,190
Clay,27-Mar-2025,FST,3D,191
Clay,09-Apr-2025,FST,2D,192
Clay,10-Apr-2025,FST,2D,193
Clay,11-Apr-2025,MT,2D,194
Clay,16-Apr-2025,FST,MN,195
Clay,17-Apr-2025,FST,3D,196
Clay,18-Apr-2025,MT,MN,197
Clay,24-Apr-2025,MT,2D,198
Clay,25-Apr-2025,FST,2D,199
Clay,02-May-2025,FST,MN,200
Clay,07-May-2025,FST,3D,201
Clay,08-May-2025,MT,NA,202
Clay,09-May-2025,MT,2D,203
Clay,13-May-2025,FST,3D,204
Clay,14-May-2025,MT,2D,205
Clay,15-May-2025,FST,2D,206
Clay,16-May-2025,FST,3D,207
Clay,27-May-2025,FST,3D,208
Clay,28-May-2025,MT,2D,209
Clay,29-May-2025,FST,3D,210
Clay,24-Jun-2025,FST,2D,211
Clay,25-Jun-2025,MT,2D,212
Clay,17-Jul-2025,MT,2D,213
Clay,30-Jul-2025,MT,2D,214
Clay,05-Aug-2025,FST,NA,215
Clay,07-Aug-2025,MT,2D,216
Clay,08-Aug-2025,FST,3D,217
Clay,12-Aug-2025,MT,2D,218
Clay,14-Aug-2025,FST,3D,219
Clay,21-Aug-2025,FST,MN,220
Clay,02-Sep-2025,FST,2D,221
Clay,04-Sep-2025,MT,2D,222
Clay,09-Sep-2025,MT,2D,223
Clay,11-Sep-2025,FST,MN,224
Clay,12-Sep-2025,MT,2D,225
Clay,19-Sep-2025,FST,MN,226
Clay,30-Sep-2025,FST,2D,227
Clay,01-Oct-2025,FST,NA,228
Clay,03-Oct-2025,FST,2D,229
Clay,08-Oct-2025,MT,2D,230
Clay,10-Oct-2025,FST,2D,231
Clay,14-Oct-2025,FST,MN,232
Clay,22-Oct-2025,FST,MN,233
Clay,24-Oct-2025,FST,MN,234
Clay,29-Oct-2025,FST,NA,235
Clay,31-Oct-2025,FST,3D,236
Clay,12-Nov-2025,FST,2D,237
Clay,03-Dec-2025,FST,NA,238
Clay,05-Dec-2025,FST,2D,239
Clay,10-Dec-2025,MT,2D,240
Clay,12-Dec-2025,FST,2D,241
Clay,17-Dec-2025,FST,2D,242
Clay,19-Dec-2025,FST,2D,243
