UnitTableRow,Date,Monkey,ROI,TrialInfoFile,TrialType,TrialCount,TrialsWithMicrosaccade,TrialsWithMicrosaccadePct,MicrosaccadeCount,MeanCountPerTrial,MedianCountPerTrial,MeanRateHz,MedianRateHz,MeanAmplitudeDeg,MeanPeakVelocityDegS
1,14-Jul-2021,Jim,MT,P:\Jim\NeuroData\20210714\Jim_MT_14July2021_MUA_3DMotionStim_TInfo.mat,NonStim,526,153,29.0874524714829,187,0.355513307984791,0,0.365633997593081,0,0.175859545063501,20.7791774569396
1,14-Jul-2021,Jim,MT,P:\Jim\NeuroData\20210714\Jim_MT_14July2021_MUA_3DMotionStim_TInfo.mat,Stim,523,162,30.9751434034417,183,0.349904397705545,0,0.35967757197638,0,0.143571315731065,18.6359389996278
