SourceRow,OriginalRecIdx,Date,Monkey,ROI,StimElec,NeuroType,Z3D_v_Z2D,P_MonoL,P_MonoR,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedDegPerSec_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
26,26,17-Jan-2023,Jim,FST,14,3D,3.6349554612156,1.05853180165493e-07,1.40109947158687e-05,0.798062336607035,Toward,2,12.500001,fast (~12.5 deg/s),0,63.7229618394039,69.4242363536364,32.384572164758,34.092844108303,38.4676307750927,31.9489031371791,29.5806114269877,33.7510666588596,NaN,NaN,NaN,NaN,7,6,7,7,60.928500759088,205.365895626993,0.296682662781326,4.94790170889422,128.006930837228,0.0386533891292645,1,1,1
69,70,20-Dec-2023,Jim,FST,14,3D,2.12145682435055,0.0170074305584235,0.000132588479642057,-0.755695882015947,Away,2,12.500001,fast (~12.5 deg/s),0,19.2766837659894,23.655132291579,36.0011011601194,49.2043385267285,30.5888632722685,29.8013194174037,34.7155429973105,35.1012957352616,NaN,NaN,NaN,NaN,10,10,10,11,-22.7583429499616,108.621975065099,-0.209518773124152,20.6885772721337,149.722302101562,0.138179663161337,1,1,1
73,74,11-Jan-2024,Jim,FST,1,3D,2.04405692357126,0.00356925666315244,0.0028835074971996,-0.345902532980025,Away,2,12.500001,fast (~12.5 deg/s),0,39.190764150548,34.0715788595524,51.1898999239809,57.17510002334,48.1374065681823,54.3079805954601,57.3966918729611,62.3918717125197,NaN,NaN,NaN,NaN,10,10,10,10,-37.2669352706015,183.791621290802,-0.202767324260317,-3.33967252110032,220.069672415742,-0.0151755236623028,1,1,1
84,85,05-Mar-2024,Jim,FST,12,3D,1.32570984188196,7.43307877340434e-09,0.00024016417714909,0.542033518417699,Toward,2,12.500001,fast (~12.5 deg/s),0,41.1156053847199,34.1391275829896,24.2628098579082,25.7767568823436,20.6237658944074,24.2286470974736,23.3862796047712,21.2800765792242,NaN,NaN,NaN,NaN,11,10,10,10,33.350890494078,117.158575441341,0.284664527273773,2.42464003800696,97.6544934424966,0.0248287605878033,1,1,1
87,88,12-Mar-2024,Jim,FST,13,3D,1.41783713168159,8.86668904663844e-10,3.67919053738697e-06,-0.84038893330634,Away,2,12.500001,fast (~12.5 deg/s),0,8.96900551947189,7.72477692976719,25.5505904068096,18.6320501844108,15.1360399854567,14.4121904378636,12.6483688187112,13.1382163094833,NaN,NaN,NaN,NaN,10,10,10,10,-11.580473845701,44.9680387441791,-0.257526771660683,17.1220813346455,71.2431998477953,0.240332851012101,1,1,1
104,106,12-Jun-2024,Jim,FST,4,3D,0.346342598580794,1.24875288078339e-16,0.00149571545547598,0.879314122159244,Toward,2,12.500001,fast (~12.5 deg/s),0,96.1371843346735,70.381316207465,43.182752992206,43.6733127221528,93.0518640365951,57.3795925112988,47.4376465050558,53.2037719430155,NaN,NaN,NaN,NaN,10,10,10,10,20.2628645625279,312.774136521749,0.0647843353925107,-17.9611733019959,191.673304730713,-0.0937072240040417,1,1,1
106,108,14-Jun-2024,Jim,FST,11,3D,1.45045417779309,4.98687351454144e-05,7.63789953276369e-06,0.345509258479834,Toward,2,12.500001,fast (~12.5 deg/s),0,66.7146707741586,63.9362711824605,56.5776363834574,55.4289925818159,67.4645756131477,81.5219356979072,81.8144714618004,81.1763963318384,NaN,NaN,NaN,NaN,6,8,8,8,-17.990029988367,279.291913901605,-0.0644129997788082,-51.3297781944343,275.343036124981,-0.186421196325936,1,1,1
111,113,28-Jun-2024,Jim,FST,5,3D,1.18810456265272,0.000193041102615582,2.97106199361573e-08,-0.668412911992148,Away,2,12.500001,fast (~12.5 deg/s),0,37.9150381022092,37.2941678056205,58.3272305380031,65.3003463490738,32.194453182644,37.6377350496813,38.9687822894729,34.8744566706323,NaN,NaN,NaN,NaN,10,10,10,11,8.14029605455342,142.278115761106,0.0572139714601049,47.0210595479228,200.234094226231,0.234830435494151,1,1,1
114,116,17-Jul-2024,Jim,FST,16,3D,3.46137442461237,0.00247300547090731,0.00029413823632494,0.626278793836331,Toward,2,12.500001,fast (~12.5 deg/s),0,28.6398069304125,30.4035345035346,21.9304799204547,19.0283870992866,16.3547249742527,15.6738866744589,20.7056757647109,19.5879984792555,NaN,NaN,NaN,NaN,8,8,9,8,23.1006179804389,94.9860648874554,0.243200073693018,4.57930458057155,77.338429458911,0.0592112435255035,1,1,1
118,120,02-Aug-2024,Jim,FST,2,3D,4.14594489174583,5.25907326839299e-07,1.18189361774294e-07,0.858614170752659,Toward,2,12.500001,fast (~12.5 deg/s),0,28.1302179748,27.2688065695317,17.1719976280763,13.136122414596,19.2874752025561,12.720304018328,16.7488224450649,20.1652634918937,NaN,NaN,NaN,NaN,10,11,10,10,15.9462858498818,94.8517632387814,0.16811796961263,0.838993579279323,59.7772465060651,0.0140353333135576,1,1,1
