SpeedRank_2D,SpeedLabel_2D,Group,N_Selected,N_Complete,N_TowardPreferred,N_AwayPreferred,N_NeutralOrUndefined,N_Valid_TDI,TDI_Mean,TDI_Median,TDI_SD,N_Valid_ADI,ADI_Mean,ADI_Median,ADI_SD
1,slow (~4.2 deg/s),All,30,30,18,12,0,30,0.0993892391404398,0.0634412167105301,0.156309205138282,30,0.0557722589427292,0.0539362319789595,0.181409828854404
1,slow (~4.2 deg/s),Jim,16,16,9,7,0,16,0.0610219751994351,0.0465596031116132,0.156137891999278,16,0.0994998074684685,0.0797364644036593,0.132650334309882
1,slow (~4.2 deg/s),Clay,14,14,9,5,0,14,0.143237540787302,0.163719189765853,0.149971448582392,14,0.0057979177704557,-0.0683105972560001,0.219242914699499
2,fast (~12.5 deg/s),All,30,30,18,12,0,30,0.00611944400288408,0.0203344520704996,0.227143370109276,30,-0.0435468781546664,-0.0555031804306062,0.170407609864634
2,fast (~12.5 deg/s),Jim,16,16,9,7,0,16,0.0142609641259504,0.0286630888023101,0.194594284870929,16,0.0435320574538613,0.048932316327384,0.167345965965756
2,fast (~12.5 deg/s),Clay,14,14,9,5,0,14,-0.00318515042347747,0.0203344520704996,0.26688409542839,14,-0.143065661707269,-0.17075858208685,0.11165677983269
