SourceFile,Monkey,SessionID,SessionIndex,Block,ConditionIndex,ConditionName,CorrectCount,TotalTrials,CorrectRate,NCoherenceLevels
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_008,8,nonStim,3,MonoR,64,84,0.761904761904762,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_008,8,nonStim,4,Bino,57,86,0.662790697674419,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_009,9,nonStim,1,Combined,88,94,0.936170212765957,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_009,9,nonStim,2,MonoL,84,96,0.875,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_009,9,nonStim,3,MonoR,90,96,0.9375,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_009,9,nonStim,4,Bino,82,96,0.854166666666667,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_010,10,nonStim,1,Combined,105,112,0.9375,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_010,10,nonStim,2,MonoL,89,110,0.809090909090909,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_010,10,nonStim,3,MonoR,90,111,0.810810810810811,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_010,10,nonStim,4,Bino,93,111,0.837837837837838,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_011,11,nonStim,1,Combined,68,77,0.883116883116883,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_011,11,nonStim,2,MonoL,71,87,0.816091954022989,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_011,11,nonStim,3,MonoR,69,85,0.811764705882353,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_011,11,nonStim,4,Bino,78,90,0.866666666666667,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_012,12,nonStim,1,Combined,87,96,0.90625,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_012,12,nonStim,2,MonoL,82,97,0.845360824742268,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_012,12,nonStim,3,MonoR,75,96,0.78125,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_012,12,nonStim,4,Bino,84,96,0.875,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_013,13,nonStim,1,Combined,144,152,0.947368421052632,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_013,13,nonStim,2,MonoL,132,154,0.857142857142857,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_013,13,nonStim,3,MonoR,135,153,0.882352941176471,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_013,13,nonStim,4,Bino,130,156,0.833333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_014,14,nonStim,1,Combined,105,120,0.875,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_014,14,nonStim,2,MonoL,100,120,0.833333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_014,14,nonStim,3,MonoR,110,120,0.916666666666667,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_014,14,nonStim,4,Bino,94,120,0.783333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_015,15,nonStim,1,Combined,96,105,0.914285714285714,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_015,15,nonStim,2,MonoL,85,106,0.80188679245283,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_015,15,nonStim,3,MonoR,79,104,0.759615384615385,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_015,15,nonStim,4,Bino,89,105,0.847619047619048,12
