Block,Comparison,LeftEyeCondition,ComparatorCondition,NPairs,PooledLeftCorrect,PooledLeftTrials,PooledLeftRate,PooledComparatorCorrect,PooledComparatorTrials,PooledComparatorRate,MeanPairedDifference,MedianPairedDifference,SEMPairedDifference,PairedDifferenceCILow,PairedDifferenceCIHigh,EffectSizeDz,PairedTTestP,PairedTStat,PairedTDf,SignrankP
nonStim,MonoL - Combined,MonoL,Combined,103,8361,10844,0.771025451862781,9799,10813,0.906223989642097,-0.135791482412037,-0.132802445302445,0.00652020505306705,-0.148724278219653,-0.122858686604421,-2.05207232375267,1.59844889072249e-38,-20.8262594974926,102,1.44365446999341e-18
nonStim,MonoL - MonoR,MonoL,MonoR,103,8361,10844,0.771025451862781,8854,10864,0.814985272459499,-0.0452642486881209,-0.0394303515798844,0.0056716889373519,-0.0565140168034019,-0.0340144805728399,-0.786365225229347,2.24875868981674e-12,-7.98073540141197,102,6.00358929057912e-11
nonStim,MonoL - Bino,MonoL,Bino,103,8361,10844,0.771025451862781,8531,10832,0.787573855243722,-0.0174594853571277,-0.0114942528735632,0.00631191456800525,-0.0299791379752201,-0.00493983273903533,-0.272553468820087,0.00673563823961856,-2.7661156007448,102,0.00891602330383306
