Date,Monkey,ROI,AbsMeanBiasChange,MeanSignedBiasChange,MeanAbsBiasChange,CombinedSlopeChange,NValidBiasCues,TuningBehaviorPlot,RecordingLocationPlot,CombinedPlot
22-Oct-2024,Clay,MT,0.00413281163328896,0.00413281163328896,0.0419277099696879,-2.80827003052655,4,C:\EM\allSessions\166_Clay_MT_2024-10-22_stim15.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2024-10-22_Hole_23-22.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\166_Clay_MT_2024-10-22_combined.png
10-Dec-2024,Jim,FST,0.0904106622761386,0.0904106622761386,0.143162467885598,-0.927633055778389,4,C:\EM\allSessions\137_Jim_FST_2024-12-10_stim07.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2024-12-10_Hole_17-22.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\137_Jim_FST_2024-12-10_combined.png
26-Dec-2024,Clay,MT,0.0797108433459404,0.0797108433459404,0.098458051908859,-1.96062293137509,4,C:\EM\allSessions\173_Clay_MT_2024-12-26_stim02.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2024-12-26_Hole_21-23.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\173_Clay_MT_2024-12-26_combined.png
07-Jan-2025,Clay,FST,0.121447483499793,0.121447483499793,0.121447483499793,-1.59153980470011,4,C:\EM\allSessions\174_Clay_FST_2025-01-07_stim03.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-01-07_Hole_21-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\174_Clay_FST_2025-01-07_combined.png
09-Jan-2025,Clay,FST,0.139504578448166,0.139504578448166,0.139504578448166,-1.15966858908747,4,C:\EM\allSessions\175_Clay_FST_2025-01-09_stim04.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-01-09_Hole_23-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\175_Clay_FST_2025-01-09_combined.png
14-Jan-2025,Clay,MT,0.0583979431022625,-0.0583979431022625,0.124401761010383,-1.09919826749001,4,C:\EM\allSessions\176_Clay_MT_2025-01-14_stim02.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2025-01-14_Hole_19-20.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\176_Clay_MT_2025-01-14_combined.png
06-Feb-2025,Clay,FST,0.292060307424371,-0.292060307424371,0.292060307424371,-2.22428523043571,4,C:\EM\allSessions\181_Clay_FST_2025-02-06_stim01.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-02-06_Hole_21-23.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\181_Clay_FST_2025-02-06_combined.png
12-Feb-2025,Clay,FST,0.211610314991264,0.211610314991264,0.211610314991264,-2.04967144875905,4,C:\EM\allSessions\182_Clay_FST_2025-02-12_stim03.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-02-12_Hole_21-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\182_Clay_FST_2025-02-12_combined.png
26-Mar-2025,Clay,FST,0.0893099447788875,0.0893099447788875,0.109326970659705,-0.664647281463932,4,C:\EM\allSessions\189_Clay_FST_2025-03-26_stim15.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-03-26_Hole_22-24.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\189_Clay_FST_2025-03-26_combined.png
09-Apr-2025,Clay,FST,0.0905219452471057,0.0905219452471057,0.0905219452471057,-3.72182238377041,4,C:\EM\allSessions\191_Clay_FST_2025-04-09_stim15.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-04-09_Hole_22-24.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\191_Clay_FST_2025-04-09_combined.png
16-Apr-2025,Clay,FST,0.0320768585854996,-0.0320768585854996,0.0641973221835431,-1.09626394285835,4,C:\EM\allSessions\194_Clay_FST_2025-04-16_stim05.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-04-16_Hole_24-27.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\194_Clay_FST_2025-04-16_combined.png
17-Apr-2025,Clay,FST,0.481705961955475,0.481705961955475,0.481705961955475,-0.973888217357987,4,C:\EM\allSessions\195_Clay_FST_2025-04-17_stim08.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-04-17_Hole_22-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\195_Clay_FST_2025-04-17_combined.png
08-May-2025,Clay,MT,0.0707925231805132,0.0707925231805132,0.0707925231805132,-1.03021046076352,4,C:\EM\allSessions\201_Clay_MT_2025-05-08_stim07.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2025-05-08_Hole_22-22.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\201_Clay_MT_2025-05-08_combined.png
14-May-2025,Clay,MT,0.437983557499552,-0.437983557499552,0.437983557499552,-1.08076016102046,4,C:\EM\allSessions\204_Clay_MT_2025-05-14_stim15.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2025-05-14_Hole_21-21.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\204_Clay_MT_2025-05-14_combined.png
15-May-2025,Clay,FST,0.251146227125587,0.251146227125587,0.251146227125587,-0.755267367094209,4,C:\EM\allSessions\205_Clay_FST_2025-05-15_stim14.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-05-15_Hole_23-27.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\205_Clay_FST_2025-05-15_combined.png
07-Aug-2025,Clay,MT,0.115945239624644,0.115945239624644,0.115945239624644,-1.52101483441329,4,C:\EM\allSessions\215_Clay_MT_2025-08-07_stim03.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2025-08-07_Hole_22-21.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\215_Clay_MT_2025-08-07_combined.png
10-Oct-2025,Clay,FST,0.169083297025534,-0.169083297025534,0.169083297025534,-0.569975747373354,4,C:\EM\allSessions\230_Clay_FST_2025-10-10_stim02.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-10-10_Hole_22-26.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\230_Clay_FST_2025-10-10_combined.png
22-Oct-2025,Clay,FST,0.145938309822533,0.145938309822533,0.145938309822533,-1.03261990268938,4,C:\EM\allSessions\232_Clay_FST_2025-10-22_stim02.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-10-22_Hole_23-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\232_Clay_FST_2025-10-22_combined.png
12-Dec-2025,Clay,FST,0.212137293061975,0.212137293061975,0.212137293061975,-0.579482156745376,4,C:\EM\allSessions\240_Clay_FST_2025-12-12_stim15.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2025-12-12_Hole_22-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\240_Clay_FST_2025-12-12_combined.png
13-Jan-2026,Clay,FST,0.00405080588807708,0.00405080588807708,0.0813390983842349,-1.21017277874957,4,C:\EM\allSessions\245_Clay_FST_2026-01-13_stim11.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2026-01-13_Hole_21-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\245_Clay_FST_2026-01-13_combined.png
